position,disk_mask,score
2114432,274745223,-4
2114432,807421831,-3
2114432,34630289287,-1
2114432,4398317062023,0
536888192,805326727,1
536888192,805357447,-1
536888192,807421831,-2
536888192,1879066503,-1
536888192,35165063047,-2
536888192,4398851835783,-2
34359755648,35165063047,-2
34359755648,103347668871,0
34359755648,4432674703239,-1
4398046528384,4398851835783,-4
4398046528384,4432674703239,0
4398046528384,13194407987079,-1
50048,34359854983,2
50048,103079266183,3
50048,4432406300551,0
68719494016,103079235463,1
68719494016,103079266183,-1
68719494016,103081330567,-2
68719494016,103347668871,-1
68719494016,240518186887,0
68719494016,4501125744519,-1
4398046528384,4501125744519,-1
4398046528384,13228499289991,0
50048,4398046627719,2
50048,13194139584391,3
34359755648,4501125744519,0
34359755648,13228499289991,1
2102144,2121607,0
2102144,6299527,3
2102144,270540679,3
2102144,34361843591,5
2102144,4398048616327,5
6292352,6299527,6
6292352,6311815,3
6292352,14684039,6
6292352,274730887,6
6292352,34366033799,6
6292352,4398052806535,6
270533504,270552967,-2
34361836416,34361843591,5
34361836416,34361855879,0
34361836416,34366033799,3
34361836416,34630274951,3
34361836416,103081316231,5
34361836416,4432408350599,5
4398048609152,4398048616327,5
4398048609152,4398048628615,0
4398048609152,4398052806535,3
4398048609152,4398317047687,3
4398048609152,4432408350599,5
4398048609152,13194141634439,5
6292352,6342535,-1
6292352,14698375,-1
6292352,274745223,5
6292352,34366048135,3
6292352,4398052820871,3
270533504,270583687,-3
270533504,274745223,-3
270533504,807421831,2
270533504,34630289287,-1
270533504,4398317062023,0
34361836416,34361886599,-13
34361836416,34366048135,-3
34361836416,34630289287,0
34361836416,103081330567,-3
34361836416,4432408364935,0
4398048609152,4398048659335,-13
4398048609152,4398052820871,-3
4398048609152,4398317062023,0
4398048609152,4432408364935,0
4398048609152,13194141648775,0
2098056,14681999,15
2100096,14684039,3
10486656,14684039,5
10486656,14698375,1
10486656,31459207,3
10486656,283117447,3
10486656,34374420359,5
10486656,4398061193095,5
34361836416,34374420359,3
34361836416,34634467207,3
34361836416,103085508487,3
34361836416,4432412542855,3
4398048609152,4398061193095,3
