position,disk_mask,score
103079232513,103347670915,3
103079232513,240518188931,3
4432406266881,4432406273923,3
4432406266881,4432406302595,-3
4432406266881,4432408366979,-2
4432406266881,4432674705283,-2
4432406266881,4501125746563,-2
4432406266881,13228499292035,2
34359757825,34359795587,-4
34359757825,34359857027,-13
34359757825,34361888643,-4
34359757825,34628226947,-7
34359757825,103079268227,2
34359821313,34359854983,15
34359821313,34359857027,15
34359821313,34359986051,15
34359821313,34361952131,5
34359821313,34628290435,-5
34359821313,103079331715,15
103079232513,103079331715,-12
103079232513,103081363331,-3
103079232513,103347701635,-5
103079232513,240518219651,2
4432406266881,4432406366083,-13
4432406266881,4432408397699,-4
4432406266881,4432674736003,-7
4432406266881,4501125777283,2
4432406266881,13228499322755,-4
34359757825,34361859971,-2
34359757825,34366050179,-5
34359757825,34630291331,-2
34359757825,103081332611,-3
34363950081,34366048135,3
34363950081,34366050179,6
34363950081,34366080899,5
34363950081,34374436739,-3
34363950081,34634483587,4
34363950081,103085524867,4
103079232513,103085524867,-8
103079232513,103349766019,2
103079232513,240520284035,3
4432406266881,4432412559235,-9
4432406266881,4432676800387,-2
4432406266881,4501127841667,-3
4432406266881,13228501387139,-2
34359757825,34628198275,-2
34359757825,35165065091,-5
34359757825,103347670915,-2
34896626689,35165063047,3
34896626689,35165065091,3
34896626689,35165095811,-5
34896626689,35167160195,2
34896626689,36238804867,-2
34896626689,103884539779,-2
103079232513,103884539779,-2
103079232513,240786622339,3
4432406266881,4433211574147,-4
4432406266881,4501394179971,-2
4432406266881,13228767725443,-2
34359757825,103079239555,-2
34359757825,240518188931,-2
171798709249,240518186887,-2
171798709249,240518188931,5
171798709249,240518219651,2
171798709249,240520284035,-2
171798709249,240786622339,-2
171798709249,515396093827,-2
4432406266881,4638564697987,-2
4432406266881,13297218766723,-2
103079297025,103079461763,-5
103079297025,103347766147,-5
103079297025,240518284163,2
240518184961,515396125571,-12
4501125742593,4501125841795,-13
4501125742593,4501394211715,-11
4501125742593,4638564729731,-12
4501125742593,13297218798467,-11
103083425793,103085556611,-3
103083425793,103093912451,-4
103083425793,103353959299,2
103083425793,240524477315,3
240518184961,515398189955,-8
4501125742593,4501396276099,-10
4501125742593,4638566794115,-8
4501125742593,13297220862851,-7
103616102401,103884571523,-11
103616102401,103886635907,-12
103616102401,104958280579,-10
103616102401,241323492227,3
240518184961,515664528259,-5
4501125742593,4501931049859,-5
4501125742593,4638833132419,2
4501125742593,13297487201155,-5
103079232513,515396093827,3
103079264257,515396125571,3
377957138433,515396125571,-12
377957138433,515398189955,-8
377957138433,515664528259,-3
377957138433,1065151906691,3
4501125742593,4913442603907,3
4501125742593,13434657719171,-5
4432406331393,4432406496131,-5
4432406331393,4432674800515,-7
4432406331393,4501125841795,2
4432406331393,13228499387267,-5
13228499288065,13228499387267,-13
13228499288065,13228767757187,-11
13228499288065,13297218798467,-11
13228499288065,30820685366147,-12
4432410460161,4432412590979,-4
4432410460161,4432420946819,-4
4432410460161,4432680993667,-3
4432410460161,4501132034947,-3
4432410460161,13228505580419,-3
13228499288065,13228769821571,-10
13228499288065,13297220862851,-7
13228499288065,30820687430531,-8
4432943136769,4433211605891,-12
4432943136769,4433213670275,-12
4432943136769,4434285314947,-10
4432943136769,4501931049859,-5
4432943136769,13229304595331,-5
13228499288065,13229304595331,-7
13228499288065,13297487201155,-7
13228499288065,30820953768835,-5
4569845219329,4638564729731,-12
4569845219329,4638566794115,-9
4569845219329,4638833132419,-4
4569845219329,4913442603907,-2
4569845219329,13434657719171,-2
13228499288065,13434657719171,-5
13228499288065,30889404810115,-4
4432406266881,30820685334403,2
4501125742593,30889404810115,2
22024592310273,30820685366147,-12
22024592310273,30820687430531,-9
22024592310273,30820953768835,-5
22024592310273,30889404810115,-5
22024592310273,66005057422211,-5
34359951361,34360247171,3
34359951361,34628420483,-7
34359951361,103079461763,2
34360082433,34360247171,-5
34360082433,34360770947,2
34360082433,34362343811,0
34360082433,34628682115,-5
34360082433,103079723395,1
103079297025,103079723395,2
103079297025,103081558403,3
103079297025,103347896707,0
103079297025,240518414723,5
4432406331393,4432406757763,-1
4432406331393,4432408592771,0
4432406331393,4432674931075,-5
4432406331393,4501125972355,0
4432406331393,13228499517827,0
34359951361,34362343811,4
34359951361,34630517123,4
34359951361,103081558403,2
34364014593,34366145411,5
34364014593,34366275971,3
34364014593,34374533507,3
34364014593,34634580355,4
34364014593,103085621635,4
103079297025,103349862787,3
103079297025,240520380803,3
4432406331393,4432676897155,0
4432406331393,4501127938435,2
4432406331393,13228501483907,0
34359951361,34628682115,2
34359951361,35165290883,-5
34359951361,103347896707,2
34896691201,35165160323,-5
34896691201,35165290883,0
34896691201,35167256963,2
34896691201,36238901635,-5
34896691201,103884636547,-1
103079297025,103884636547,-1
103079297025,240786719107,2
4432406331393,4433211670915,-5
4432406331393,4501394276739,2
4432406331393,13228767822211,-3
34359951361,103079723395,2
34359951361,240518414723,2
171798773761,240518284163,2
171798773761,240518414723,1
171798773761,240520380803,2
171798773761,240786719107,2
171798773761,515396190595,2
4432406331393,4638564794755,0
4432406331393,13297218863491,2
103079362561,103079461763,-13
103079362561,103079723395,-1
103079362561,103081558403,-13
103079362561,103347896707,1
103079362561,240518414723,-9
240518184961,515396190595,-1
4501125742593,4501125972355,-12
4501125742593,4501127938435,-13
4501125742593,4501394276739,-4
4501125742593,4638564794755,-4
4501125742593,13297218863491,-1
103083425793,103085621635,3
103083425793,103093944707,3
103083425793,103353991555,4
103083425793,240524509571,3
240518184961,515398222211,-8
4501125742593,4501396308355,-5
4501125742593,4638566826371,-6
4501125742593,13297220895107,-4
103616102401,103884636547,3
103616102401,103886668163,-5
103616102401,104958312835,-10
103616102401,241323524483,3
240518184961,515664560515,-1
4501125742593,4501931082115,-1
4501125742593,4638833164675,2
4501125742593,13297487233411,-1
103079231493,515396125063,-8
103079232001,515396125571,-1
103079297025,515396190595,3
377957138433,515396190595,-4
377957138433,515398222211,-4
377957138433,515664560515,-3
377957138433,1065151938947,3
4501125742593,4913442636163,-5
4501125742593,13434657751427,-4
4432406396929,4432406496131,-13
4432406396929,4432406757763,-3
4432406396929,4432408592771,-13
4432406396929,4432674931075,-5
4432406396929,4501125972355,-4
4432406396929,13228499517827,-3
13228499288065,13228499517827,-12
13228499288065,13228501483907,-13
13228499288065,13228767822211,-5
13228499288065,13297218863491,-4
13228499288065,30820685431171,0
4432410460161,4432412656003,-2
4432410460161,4432420979075,-3
4432410460161,4432681025923,2
4432410460161,4501132067203,4
4432410460161,13228505612675,4
13228499288065,13228769853827,-5
13228499288065,13297220895107,-4
13228499288065,30820687462787,-4
4432943136769,4433211670915,0
4432943136769,4433213702531,-5
4432943136769,4434285347203,-10
4432943136769,4501931082115,-4
4432943136769,13229304627587,-3
13228499288065,13229304627587,-5
13228499288065,13297487233411,-4
13228499288065,30820953801091,-4
4569845219329,4638564794755,0
4569845219329,4638566826371,-5
4569845219329,4638833164675,2
4569845219329,4913442636163,-1
4569845219329,13434657751427,2
13228499288065,13434657751427,-5
13228499288065,30889404842371,-8
4432406331393,30820685431171,-4
4501125742593,30889404842371,-1
22024592310273,30820685431171,-4
22024592310273,30820687462787,-4
22024592310273,30820953801091,-4
22024592310273,30889404842371,1
22024592310273,66005057454467,-4
34372337665,34374468483,5
34372337665,34391212931,4
34372337665,34642871171,4
34372337665,103093912451,4
34372337665,34374533507,5
34372337665,34391245187,6
34372337665,34642903427,5
34372337665,103093944707,4
34380726273,34391212931,-3
34380726273,34391245187,2
34380726273,34424766851,2
34380726273,34659647875,3
34380726273,103110689155,-2
103083425793,103110689155,-3
103083425793,103362347395,1
