position,disk_mask,score
13262859042817,66073776996481,-1
48378511654913,136373801697409,0
4398046543879,30786325692559,0
4398046544131,65970697781635,0
4398046674947,65970697912451,-8
4398048641027,65970699878531,0
4398314979331,65970966216835,-2
4432406282243,66005057519747,-9
39582418632707,65970697912451,-2
39582418632707,136339441959043,3
4398046544641,30786325694337,3
4398046544641,65970697782145,-3
4398046675201,65970697912705,-4
4398048641281,65970699878785,0
4398314979585,65970966217089,3
4432406282497,66005057520001,-10
39582418632961,65970697912705,4
39582418632961,136339441959297,4
4398046937089,30786326610049,5
4398046937089,65970698174593,-8
4398048772097,65970700009601,5
4398315110401,65970966347905,2
4432406413313,66005057650817,-10
39582418763777,65970697912451,4
39582418763777,65970697912705,4
39582418763777,65970698174593,4
39582418763777,65970700009601,0
39582418763777,65970966347905,0
39582418763777,136339442090113,4
4398052835329,30786340372609,14
4398052835329,65970704072833,5
39582420729857,65970700009601,5
39582420729857,65970704072833,0
39582420729857,65970968313985,2
39582420729857,136339444056193,9
4398851850241,30788204740737,14
4398851850241,65971503087745,3
39582687068161,65970966347905,4
39582687068161,65970968313985,0
39582687068161,65971503087745,0
39582687068161,136339710394497,6
4501125758977,31026843861121,12
4501125758977,66073776996481,-3
39616778371073,66005057650817,2
39616778371073,66005059616897,-3
39616778371073,66005325955201,-3
39616778371073,66073776996481,12
39616778371073,136373801697409,9
57174604677121,65970698174593,-6
57174604677121,65970700009601,-6
57174604677121,65970966347905,-5
57174604677121,136339442090113,-2
57174604677121,65970704072833,-10
57174604677121,136339444056193,-4
57174604677121,65971503087745,-6
57174604677121,136339710394497,-3
21990232588291,136339441959043,0
21990232588545,136339441959297,2
21990232719361,136339442090113,5
21990234685441,136339444056193,5
21990501023745,136339710394497,11
22024592326657,136373801697409,11
92358976765953,136339442090113,-4
92358976765953,136339444056193,-9
92358976765953,136339710394497,-4
92358976765953,277076930314369,-2
98311,2605199,0
622595,3129479,0
622595,7323779,-3
622595,34362867843,0
268533763,271564931,13
268533763,807911555,13
34359836675,34362867843,0
34359836675,103081820291,1
4398046609411,4398049640579,0
4398046609411,13194142138499,2
99073,2606977,6
99073,3130241,6
622849,3130241,0
622849,7324033,0
622849,34362868097,6
268534017,271565185,15
268534017,807911809,13
34359836929,34362868097,6
34359836929,103081820545,6
4398046609665,4398049640833,6
4398046609665,13194142138753,6
4554753,15712385,-4
4554753,34367062145,12
268795905,275759233,0
268795905,808435841,2
268795905,34631303297,12
34360098817,34367062145,-3
34360098817,103082344577,0
4398046871553,4398053834881,-2
4398046871553,4432409378945,-4
4398046871553,13194142662785,-2
884737,34367062145,-14
8749057,15188099,0
8749057,15188353,0
8749057,15712385,0
8749057,31965313,-1
8749057,34374926465,0
268795905,283623553,-2
268795905,812105857,2
268795905,34634973313,0
34360098817,103086014593,-3
4398046871553,4432413048961,-14
4398046871553,13194146332801,-5
884737,103082344577,-4
4554753,103086014593,2
268795905,35167649921,-4
268795905,103350255745,6
68719837185,103082344577,-2
68719837185,103086014593,-14
68719837185,240520773761,-4
4816897,7323779,5
4816897,7324033,3
4816897,15712385,-6
4816897,34367062145,12
12681217,15712385,9
12681217,31965313,8
12681217,34374926465,13
272728065,275759233,15
272728065,283623553,15
272728065,812105857,13
272728065,34634973313,15
34364030977,34367062145,12
34364030977,34374926465,2
34364030977,103086014593,6
4398050803713,4398053834881,8
