position,disk_mask,score
13228499337217,13228499386759,-12
13228499337217,13228499517575,2
13228499337217,13228501483655,-13
13228499337217,13228767821959,0
13228499337217,13297218863239,2
13228499337217,30820685430919,5
30820685316097,66005057454215,0
13228503465985,13228505612423,-4
13228503465985,13228513968263,-4
13228503465985,13297225056391,-2
13228503465985,30820691624071,-3
30820685316097,66005059518599,-5
13229036142593,13229304627335,-12
13229036142593,13230378336391,-2
13229036142593,13298024071303,-2
13229036142593,30821490638983,2
30820685316097,66005325856903,-2
13365938225153,13434657751175,-3
13365938225153,13434659815559,-4
13365938225153,13434926153863,-4
13365938225153,13709535625351,-1
13365938225153,31026843762823,5
30820685316097,66073776898183,-2
13228499271689,66005057421455,1
13228499304449,66005057454215,6
13297218748417,66073776898183,8
48412871360513,66005057454215,1
48412871360513,66005059518599,-4
48412871360513,66005325856903,-2
48412871360513,66073776898183,0
48412871360513,136373801599111,2
4432418832385,4432420929935,-13
4432418832385,4432437706895,-4
4432418832385,4501140406415,2
4432418832385,13228513951887,0
4432418832385,4432420930439,-13
4432418832385,4432420946311,-13
4432418832385,4432437707143,2
4432418832385,4432689365383,-13
4432418832385,4501140406663,4
4432418832385,13228513952135,4
4432418832385,4432420978823,-4
4432418832385,4432437723271,-4
4432418832385,4501140422791,2
4432418832385,13228513968263,5
4432427220993,4432437706895,0
4432427220993,4432437707143,2
4432427220993,4432437723271,0
4432427220993,4432471261319,1
4432427220993,4432706142343,0
4432427220993,4501157183623,0
4432427220993,13228530729095,0
13228503465985,13228530729095,-4
13228503465985,13228782387335,-4
13228503465985,13297233428615,-3
13228503465985,30820699996295,0
4432418832385,4432706142343,-2
4432418832385,4433226236039,0
4432418832385,4501408841863,2
4432418832385,13228782387335,5
4432947314689,4433217847687,-13
4432947314689,4433226236039,-2
4432947314689,4434291589255,-2
4432947314689,4501937324167,-1
4432947314689,13229310869639,5
13228503465985,13229310869639,-4
13228503465985,13297493475463,-2
13228503465985,30820960043143,-3
4432418832385,4501157183623,2
4432418832385,4638579359879,4
4432418832385,13297233428615,4
4569849397249,4638570971279,0
4569849397249,4638570971527,2
4569849397249,4638570987655,0
4569849397249,4638579359879,0
4569849397249,4638839406727,0
4569849397249,4913448878215,2
4569849397249,13434663993479,3
13228503465985,13434663993479,0
13228503465985,30889411084423,0
4432418832385,13228530729095,2
4432418832385,30820699996295,3
22024596488193,30820691607695,-2
22024596488193,30820691607943,1
22024596488193,30820691624071,-2
22024596488193,30820699996295,0
22024596488193,30820960043143,-2
22024596488193,30889411084423,0
22024596488193,66005063696519,-2
13228507660289,13228513951887,-13
13228507660289,13228513952135,2
13228507660289,13228513968263,-13
13228507660289,13228530729095,0
13228507660289,13228782387335,-13
13228507660289,13297233428615,2
13228507660289,30820699996295,0
30820685316097,66005063696519,-5
13229036142593,13229310869639,-13
13229036142593,13230380417159,-10
13229036142593,13298026152071,-10
13229036142593,30821492719751,-3
30820685316097,66005327937671,-11
13365938225153,13434663993479,-5
13365938225153,13434928234631,-10
13365938225153,13709537706119,-1
13365938225153,31026845843591,0
30820685316097,66073778978951,-5
13228499271689,66005059502223,-2
13228503465985,66005063696519,-1
13297218748417,66073778978951,2
48412871360513,66005063696519,-5
48412871360513,66005327937671,-11
48412871360513,66073778978951,-2
48412871360513,136373803679879,0
4434016862209,4434285298063,-13
4434016862209,4436432781455,-12
4434016862209,4503004774543,-9
4434016862209,13230378320015,-2
4434016862209,4434285298567,-13
4434016862209,4434285314439,-12
4434016862209,4434287395207,-13
4434016862209,4436432781703,-3
4434016862209,4503004774791,-1
4434016862209,13230378320263,2
4434016862209,4434285346951,-12
4434016862209,4436432797831,-3
4434016862209,4503004790919,2
4434016862209,13230378336391,3
4434016862209,4434291589255,-13
4434016862209,4436434878599,-13
4434016862209,4503006871687,-10
4434016862209,13230380417159,-2
4435090604033,4436432781455,-10
4435090604033,4436432781703,-2
4435090604033,4436432797831,0
4435090604033,4436434878599,-11
4435090604033,4440727748743,2
4435090604033,4505152258183,-2
4435090604033,13232525803655,2
13229036142593,13232525803655,-2
13229036142593,13299097796743,-2
13229036142593,30822564364423,2
4434016862209,4505152258183,-2
4434016862209,4640443728007,2
4434016862209,13299097796743,4
4570382073857,4639369986191,-10
4570382073857,4639369986439,-1
4570382073857,4639370002567,2
4570382073857,4639372083335,-11
4570382073857,4640443728007,-2
4570382073857,4914247893127,-1
4570382073857,13435463008391,3
13229036142593,13435463008391,-3
13229036142593,30890210099335,-1
4434016862209,13232525803655,3
4434016862209,30822564364423,3
22025129164801,30821490622607,-8
22025129164801,30821490622855,2
22025129164801,30821490638983,2
22025129164801,30821492719751,-9
22025129164801,30822564364423,2
22025129164801,30890210099335,2
22025129164801,66005862711431,2
13229573013505,13230378320015,-2
13229573013505,13230378320263,2
13229573013505,13230378336391,1
13229573013505,13230380417159,-2
13229573013505,13232525803655,0
13229573013505,13299097796743,1
13229573013505,30822564364423,0
30820685316097,66005862711431,-2
13365938225153,13435463008391,0
13365938225153,13709804044423,-4
13365938225153,31027112181895,0
30820685316097,66074045317255,-3
13228499271689,66005325840527,0
13229036142593,66005862711431,2
13297218748417,66074045317255,0
48412871360513,66005862711431,-2
48412871360513,66074045317255,-2
48412871360513,136374070018183,0
4844723109889,4913442587023,-2
4844723109889,4913442603151,-1
4844723109889,4913444683919,-9
4844723109889,4913711022223,-9
4844723109889,5463198400655,2
4844723109889,13709535608975,-3
4844723109889,4913442587527,-2
4844723109889,4913442603399,2
4844723109889,4913444684167,-2
