position,disk_mask,score
13194141728768,136339448250369,-2
13194150051840,136339456573441,5
83562885840896,136339448250369,1
83562885840896,136339456573441,-3
83562885840896,136339716620289,4
83562885840896,136373807923201,3
83562885840896,277076936540161,5
13194166796288,65970762694657,6
13194166796288,136339473317889,4
83562894196736,136339456573441,3
83562894196736,136339473317889,2
83562894196736,136339724976129,4
83562894196736,136373816279041,3
83562894196736,277076944896001,5
83563154243584,136374076325889,0
83597245546496,136374076325889,2
118747257896960,136339473317889,-5
118747257896960,136339724976129,-5
118747257896960,136373816279041,-5
118747257896960,277076944896001,-4
118747257896960,136340253458433,0
118747257896960,136374076325889,0
118747257896960,277077204942849,0
118747257896960,136442527367169,3
118747257896960,277111296245761,0
48378513719298,277076936507395,5
48378513719424,277076936507521,2
48378513752064,277076936540161,7
48378522107904,277076944896001,10
189116002074624,277076944896001,-4
189116002074624,277077204942849,0
189116002074624,277111296245761,0
4399659352064,4399927902211,5
4399659352064,4399927902337,5
4399659352064,4399928164353,5
4399659352064,4399932096513,12
4399659352064,4402075385857,-2
4399659352064,4434287640577,4
4399659352064,13196020924417,5
4401806704640,4406370222081,4
4401806704640,4406374350849,3
4399659286528,4406370222081,3
4403954188288,4406370222081,-3
4403954188288,4406374350849,3
4403954188288,4414960091137,0
4403954188288,4440729894913,0
4403954188288,13202463178753,0
13195752243200,13202463178753,-1
4401806704640,4440729894913,4
4468378697728,4503006986241,4
4468378697728,4503011115009,10
4468378697728,4505154404353,13
4468378697728,4640445874177,4
4468378697728,13299099942913,12
4401806704640,13202463178753,4
21991845265408,30788206837761,0
21991845265408,30788210966529,3
21991845265408,30790354255873,0
21991845265408,30822566510593,4
21991845265408,65972578861057,3
4399675998208,4399957065729,5
4399675998208,4399990587393,-1
4399675998208,4402104516609,-2
4399675998208,13196050055169,5
4401806704640,4406382706689,0
4399667609600,4406382706689,11
4403954188288,4406382706689,-5
4403954188288,4414964252673,6
4403954188288,4440734056449,1
4403954188288,13202467340289,6
13195752243200,13202467340289,6
4401806704640,4440734056449,5
4468378697728,4505158565889,13
4468378697728,4640450035713,5
4468378697728,13299104104449,14
