position,disk_mask,score
447213469698,516203528195,2
447213469698,517275172867,2
447213469698,1065957244931,4
447213469698,4914247942147,3
447213469698,516207689731,0
447213469698,517277237251,0
447213469698,1065959309315,2
447213469698,4914250006531,2
447213469698,519422623747,0
447213469698,1067030953987,2
447213469698,4915321651203,3
173409304578,1067030953987,3
722091376642,1065957244931,-2
722091376642,1065959309315,0
722091376642,1067030953987,1
722091376642,2165468839939,3
722091376642,5464003723267,3
4570382073858,5464003723267,-1
4570382073858,13710340931587,0
447213469698,5464003723267,4
447213469698,13710340931587,4
4707821027330,4914247942147,2
4707821027330,4914250006531,-1
4707821027330,4915321651203,-2
4707821027330,5464003723267,2
4707821027330,13710340931587,0
13229036142594,13710340931587,-4
13229036142594,31027649069059,0
4434016862210,30891283857411,3
4570382073858,31027649069059,2
22025129164802,31027649069059,-1
22025129164802,66074582204419,1
40265318402,4449317699587,4
40265318402,13236820787203,3
104689827842,4509447241731,12
104689827842,4642591227907,3
104689827842,13301245296643,12
38117834754,13236820787203,7
104689827842,13436536766467,6
104689827842,30891283857411,4
17628156395522,30822564413443,3
17628156395522,30822566477827,3
17628156395522,30824711864323,3
17628156395522,30891283857411,3
17628156395522,66006936469507,4
104689827842,4915321651203,3
378493992962,5464003723267,3
378493992962,13710340931587,4
241055039490,13710340931587,4
17695802130434,30890210148355,2
17695802130434,30890212212739,2
17695802130434,30891283857411,2
17695802130434,31027649069059,2
17695802130434,66074582204419,4
106300440578,107105861635,-11
106300440578,107107893251,-11
106300440578,111400763395,3
106300440578,244544749571,2
106300440578,4505152307203,3
106300440578,107112054787,-11
106300440578,111402827779,3
106300440578,244546813955,2
106300440578,4505154371587,4
108447924226,111400763395,-3
108447924226,111402827779,1
108447924226,119990665219,2
108447924226,248839684099,2
108447924226,4509447241731,1
241591910402,519422623747,2
4502199468034,4509447241731,2
4502199468034,4642591227907,2
4502199468034,13301245296643,9
106300440578,248839684099,4
106300440578,519422623747,3
106300440578,4642591227907,3
379030863874,517275172867,0
379030863874,517277237251,0
379030863874,519422623747,2
379030863874,1067030953987,2
379030863874,4915321651203,2
4502199468034,4915321651203,2
4502199468034,13436536766467,2
106300440578,4509447241731,4
106300440578,13301245296643,6
241591910402,4915321651203,3
242665652226,519422623747,-4
4638564679682,4915321651203,-14
240518168582,1065957212167,2
240518168706,1065957212291,2
240518201346,1065957244931,3
240520265730,1065959309315,3
241591910402,1067030953987,5
790273982466,1067030953987,-14
790273982466,2165468839939,-2
790273982466,5464003723267,-2
4638564679682,5464003723267,-4
4638564679682,13710340931587,2
4503273209858,4505152307203,-4
4503273209858,4505154371587,-5
4503273209858,4509447241731,-3
4503273209858,4642591227907,-5
4503273209858,13301245296643,-2
13297218748418,13436536766467,-12
13297218748418,30891283857411,-12
4776003633154,4915321651203,-5
4776003633154,5464003723267,-3
4776003633154,13710340931587,0
13297218748418,13710340931587,-6
13297218748418,31027649069059,-12
4502199468034,30891283857411,5
22093311770626,30891283857411,-10
22093311770626,31027649069059,-4
22093311770626,66074582204419,11
103079215118,515664527391,-4
103079215238,1065420341383,-4
103079247878,1065420374023,-4
103081312262,1065422438407,-4
103616086022,1065957212167,-10
652835028998,1065420341263,-4
652835028998,1065957212167,2
652835028998,2164931969031,2
652835028998,5463466852359,2
4501125726214,5463466852359,-5
4501125726214,13709804060679,-2
103079215490,515664528259,3
103079215490,1065420341635,-2
103079248002,1065420374147,3
103081312386,1065422438531,-5
103616086146,1065957212291,-1
652835029122,1065420341635,3
652835029122,1065957212291,2
652835029122,2164931969155,3
652835029122,5463466852483,3
4501125726338,5463466852483,-5
4501125726338,13709804060803,3
103079313410,515664756739,3
103079313410,1065420439555,0
103081345026,1065422471171,-3
103616118786,1065957244931,2
652835061762,1065420439555,3
652835061762,1065957244931,2
652835061762,2164932001795,3
652835061762,5463466885123,3
4501125758978,5463466885123,-4
4501125758978,13709804093443,3
103085506562,515679207427,3
103085506562,1065426632707,3
103618183170,1065959309315,2
652837126146,1065426632707,-4
652837126146,1065959309315,2
652837126146,2164934066179,4
652837126146,5463468949507,3
4501127823362,5463468949507,-4
4501127823362,13709806157827,2
104689827842,519422623747,3
104689827842,1067030953987,3
653371899906,1065957244931,2
653371899906,1065959309315,2
653371899906,1067030953987,3
653371899906,2165468839939,3
653371899906,5464003723267,3
4501662597122,5464003723267,-6
4501662597122,13710340931587,3
927712935938,1067030953987,-5
927712935938,2165468839939,0
927712935938,5464003723267,0
377957122054,2164931969031,2
377957122178,2164931969155,3
377957154818,2164932001795,3
377959219202,2164934066179,4
378493992962,2165468839939,3
1477468749826,2165468839939,-2
1477468749826,6562978480131,2
4776003633154,6562978480131,3
4776003633154,14259559874563,2
927712935938,6562978480131,4
927712935938,14259559874563,1
5050881540098,5464003723267,-4
5050881540098,6562978480131,2
5050881540098,14259559874563,-3
13297218748418,14259559874563,-6
13297218748418,31301990105091,3
4501662597122,31027649069059,3
4776003633154,31301990105091,2
22093311770626,31301990105091,-4
22093311770626,66211484286979,0
240518168582,5463466852359,3
240518168706,5463466852483,4
240518201346,5463466885123,5
240520265730,5463468949507,7
241055039490,5464003723267,12
790273982466,6562978480131,2
790273982466,14259559874563,1
17832704212994,31301990105091,0
4435627474946,4436432896003,-13
4435627474946,4436434927619,-14
4435627474946,4440727797763,0
4435627474946,4505152307203,-6
4435627474946,13232525852675,2
4435627474946,4436439089155,-14
4435627474946,4440729862147,-2
4435627474946,4505154371587,-14
4435627474946,13232527917059,-10
4437774958594,4440727797763,-4
4437774958594,4440729862147,-4
4437774958594,4449317699587,0
4437774958594,4509447241731,-2
4437774958594,13236820787203,0
13229573013506,13236820787203,2
13229573013506,13301245296643,0
13229573013506,30824711864323,-2
4435627474946,4509447241731,2
4435627474946,4642591227907,1
4435627474946,13301245296643,-4
4570918944770,4640443777027,-4
4570918944770,4640445841411,-14
4570918944770,4642591227907,-3
4570918944770,4915321651203,-2
4570918944770,13436536766467,1
13229573013506,13436536766467,0
13229573013506,30891283857411,0
4435627474946,13236820787203,4
4435627474946,30824711864323,3
22025666035714,30822564413443,-3
22025666035714,30822566477827,-10
22025666035714,30824711864323,-2
22025666035714,30891283857411,-4
22025666035714,66006936469507,2
13230646755330,13232525852675,-4
13230646755330,13232527917059,-11
13230646755330,13236820787203,-2
13230646755330,13301245296643,-3
13230646755330,30824711864323,-2
30820685316098,66006936469507,-12
13365938225154,13436536766467,-13
13365938225154,13710340931587,-4
13365938225154,31027649069059,-1
30820685316098,66074582204419,-9
13229573013506,66006936469507,2
13297218748418,66074582204419,-2
48412871360514,66006936469507,-11
48412871360514,66074582204419,-3
48412871360514,136374606905347,-2
4844723109890,4915321651203,-13
4844723109890,5464003723267,-3
4844723109890,13710340931587,-4
