position,disk_mask,score
105553116315778,136339710394499,-3
105553116315778,136373801697411,12
105553116315778,277076930314371,4
105553116315778,136339448184963,2
105553116315778,136339712426115,0
105553116315778,136373803729027,-1
105553116315778,277076932345987,8
105553116315778,136340247199875,4
105553116315778,136374070067331,4
105553116315778,277077198684291,5
105553116315778,136442521108611,10
105553116315778,277111289987203,12
35218731876482,277111289987203,12
175921860493442,277076930248839,12
175921860493442,277076930249091,9
175921860493442,277076930314371,4
175921860493442,277076932345987,8
175921860493442,277077198684291,5
175921860493442,277111289987203,12
35184382591106,65970980798595,4
17592204935298,30786625486979,0
105553118380162,136339712393351,4
105553118380162,136339712393603,2
105553118380162,136339712426115,3
105553118380162,136339716587651,2
105553118380162,136340249264259,0
105553118380162,136374072131715,4
105553118380162,277077200748675,4
175921862557826,277077200748675,4
35185714282626,65972578828419,3
17594601980034,30790354223235,3
105553384718466,136339712393351,0
105553384718466,136339712393603,-1
105553384718466,136339712426115,0
105553384718466,136339716587651,1
105553384718466,136340249264259,0
105553384718466,136374072131715,1
105553384718466,277077200748675,2
175922128896130,277077200748675,2
34359853186,13434657947779,11
309237694594,13709535723651,2
309237694594,14259291472003,10
309237694594,31301721702531,2
17626545832066,31301721702531,-3
17626545832066,66211215884419,10
171798741122,14259291472003,10
721554522242,15358803067011,4
721554522242,31851477483651,0
17763984752770,31851477483651,4
17763984752770,66486093758595,2
446676615298,31851477483651,4
35356170797186,66211215851655,14
35356170797186,66211215851907,14
35356170797186,66211215884419,14
35356170797186,66211217948803,2
35356170797186,66211484287107,10
35356170797186,66486093758595,14
35356170797186,136579960029315,14
17901423706242,31301721669767,5
17901423706242,31301721670019,2
17901423706242,31301721702531,2
17901423706242,31301723766915,-3
17901423706242,31301990105219,2
17901423706242,31851477483651,4
17901423706242,66486093758595,4
52810917888130,66486093758595,-2
52810917888130,136579960029315,2
17626545832066,136442521108611,10
17763984752770,136579960029315,2
87995289976962,136579960029315,-2
87995289976962,277180009431171,2
103079264386,31301721702531,5
377957138562,31851477483651,2
35287451320450,66486093758595,5
35287451320450,136579960029315,5
105587476021378,136373801599119,6
105587476021378,136373801599367,3
105587476021378,136373801631879,2
105587476021378,136373803696263,0
105587476021378,136374070034567,3
105587476021378,136442521075847,4
105587476021378,277111289954439,7
105587476021378,136373801599875,-1
105587476021378,136373801632131,2
105587476021378,136373803696515,0
105587476021378,136374070034819,2
105587476021378,136442521076099,0
105587476021378,277111289954691,3
105587476021378,136373801697411,-2
105587476021378,136373803729027,-3
105587476021378,136374070067331,2
105587476021378,136442521108611,2
105587476021378,277111289987203,3
105587476021378,136373807890563,-3
105587476021378,136374072131715,2
105587476021378,136442523172995,0
105587476021378,277111292051587,2
105587476021378,136374606905475,-3
105587476021378,136442789511299,2
105587476021378,277111558389891,3
105587476021378,136579960029315,2
105587476021378,277180009431171,4
35287451320450,277180009431171,13
175956220199042,277111289954439,7
175956220199042,277111289954691,3
175956220199042,277111289987203,3
175956220199042,277111292051587,0
175956220199042,277111558389891,3
175956220199042,277180009431171,4
52776558149778,65970697683135,4
52776558149778,65970697683359,3
52776558149778,65970697715871,2
52776558149778,65970699780255,-1
52776558149778,65970966118559,0
52776558149778,66005057421471,4
52776558149778,136339441860767,4
123145302327426,277076930216079,4
123145302327426,277076930216327,2
123145302327426,277076930248839,2
123145302327426,277076932313223,0
123145302327426,277077198651527,0
123145302327426,277111289954439,4
52776558149770,277076930216079,5
52776558182530,277076930248839,12
52810917888130,277111289954439,7
193514046505090,277076930216079,4
193514046505090,277076930216327,2
193514046505090,277076930248839,2
193514046505090,277076932313223,-1
193514046505090,277077198651527,0
193514046505090,277111289954439,4
52776558150786,65970697684871,2
52776558150786,65970697686915,4
52776558150786,65970697717635,2
52776558150786,65970699782019,-2
52776558150786,65970966120323,-2
52776558150786,66005057423235,4
52776558150786,136339441862531,4
123145302327426,277076930216835,-2
123145302327426,277076930249091,1
123145302327426,277076932313475,-2
123145302327426,277077198651779,-2
123145302327426,277111289954691,4
52776558150274,277076930216835,6
52776558182530,277076930249091,9
52810917888130,277111289954691,4
193514046505090,277076930216835,-1
193514046505090,277076930249091,1
193514046505090,277076932313475,-2
193514046505090,277077198651779,-2
193514046505090,277111289954691,4
52776558280834,65970697912455,2
52776558280834,65970697912707,0
52776558280834,65970698174595,2
52776558280834,65970700009603,-1
52776558280834,65970966347907,0
52776558280834,66005057650819,1
52776558280834,136339442090115,2
123145302327426,277076930314371,-1
123145302327426,277076932345987,-2
123145302327426,277077198684291,-1
123145302327426,277111289987203,3
52776558149766,277076930248839,4
52776558150018,277076930249091,4
52776558215298,277076930314371,4
52810917888130,277111289987203,3
193514046505090,277076930314371,-2
193514046505090,277076932345987,-2
193514046505090,277077198684291,-2
193514046505090,277111289987203,3
52776566538370,65970712363143,-3
52776566538370,65970712363395,-5
52776566538370,65970712395907,-4
52776566538370,65970729140355,-5
52776566538370,65970980798595,0
52776566538370,66005072101507,-2
52776566538370,136339456540803,-2
123145302327426,277076936507523,-5
123145302327426,277077200748675,0
123145302327426,277111292051587,-2
52776558182530,277076932345987,8
52776562344066,277076936507523,8
52776826585218,277077200748675,3
52810917888130,277111292051587,2
193514046505090,277076936507523,-6
193514046505090,277077200748675,-4
193514046505090,277111292051587,-4
52777631891586,65972576731271,-3
52777631891586,65972576731523,-3
52777631891586,65972576764035,-3
52777631891586,65972578828419,-7
52777631891586,65974724214915,-3
52777631891586,66006936469635,-9
52777631891586,136341320908931,-3
123145302327426,277077735522435,-3
123145302327426,277111558389891,-2
52776558182530,277077198684291,5
52776560246914,277077200748675,4
52777095020674,277077735522435,5
52810917888130,277111558389891,3
193514046505090,277077735522435,-3
193514046505090,277111558389891,-2
52913997103234,66211215851655,14
52913997103234,66211215851907,14
52913997103234,66211215884419,14
52913997103234,66211217948803,-2
52913997103234,66211484287107,-3
52913997103234,66486093758595,14
52913997103234,136579960029315,14
123145302327426,277180009431171,0
52776558182530,277111289987203,12
52845277626498,277180009431171,11
193514046505090,277180009431171,0
17592186159234,136339442090115,11
17626545832066,277111289987203,10
158329674449026,277076930248839,12
158329674449026,277076930249091,6
158329674449026,277076930314371,3
158329674449026,277076932345987,8
158329674449026,277077198684291,4
158329674449026,277111289987203,10
158329676513410,277077200748675,2
158329942851714,277077200748675,0
17695265276034,136579960029315,3
17695265276034,277180009431171,7
158364034154626,277111289954439,3
158364034154626,277111289954691,0
158364034154626,277111289987203,2
158364034154626,277111292051587,0
158364034154626,277111558389891,2
158364034154626,277180009431171,2
228698418593922,277076930216079,3
228698418593922,277076930216327,0
228698418593922,277076930248839,0
228698418593922,277076932313223,-2
228698418593922,277077198651527,0
228698418593922,277111289954439,2
228698418593922,277076930216835,-2
228698418593922,277076930249091,0
228698418593922,277076932313475,-3
228698418593922,277077198651779,-2
228698418593922,277111289954691,1
228698418593922,277076930314371,-5
228698418593922,277076932345987,-5
228698418593922,277077198684291,-2
228698418593922,277111289987203,-2
228698418593922,277076936507523,-5
228698418593922,277077200748675,-6
228698418593922,277111292051587,-2
228698418593922,277077735522435,-5
228698418593922,277111558389891,-2
228698418593922,277180009431171,0
2097326,4398077968575,-4
2097550,4398061191615,13
2097550,4398077968799,-4
18874510,4398077968575,4
18874510,4398111522975,3
34361835662,4432420929727,-1
34361835662,4432437706911,-5
34361835662,4501140406431,-2
8796095119502,13194154213567,-1
8796095119502,13194170990751,-5
8796095119502,30786340257951,2
35651726,4398111522975,-4
2098054,4398077970311,-5
35651974,4398111523215,-5
35651974,4398111523719,-4
35651974,4398178632071,12
35651974,13194204545415,12
34361835910,4501157183879,-5
8796095119750,30786357035399,-4
52428934,4398111522975,0
52428934,4398178631823,-1
52428934,13194204545167,-3
18874758,4398178632071,12
85983366,4398178631823,0
85983366,13194271654023,0
34378612870,4432538370183,2
34378612870,4501190738055,-2
8796111896710,13194271654023,2
8796111896710,30786390589575,4
52428934,13194271654023,3
52428934,30786390589575,2
34395390086,4432471261327,-5
34395390086,4432538370183,-3
34395390086,4501190738055,-5
34395390086,13228564283527,-4
103081312390,4638596137095,-5
34361835910,4638579360135,12
34378612870,4638596137095,-2
171800789126,4638596137095,-12
171800789126,4913457266823,-5
8796128673926,13194204545167,-5
8796128673926,13194204545415,-4
8796128673926,13194204561543,-4
8796128673926,13194271654023,-4
8796128673926,13194472980615,-5
8796128673926,13228564283527,-3
8796128673926,30786390589575,-4
26388281163910,65970729123975,-5
8796095119750,65970712347015,12
8796111896710,65970729123975,2
43980467208326,65970729123975,-4
43980467208326,136339456524423,3
2098054,4398061195143,13
2100098,4398061199235,-4
2100098,4398077972355,-9
18875266,4398077972355,2
18875266,4398111524739,-3
34361836418,4432420933507,-4
34361836418,4432437708675,-10
34361836418,4501140408195,-6
8796095120258,13194154217347,-2
8796095120258,13194170992515,-9
8796095120258,30786340259715,-2
35652482,4398111524739,-5
52429186,4398111524739,-2
52429186,4398178632579,-2
52429186,13194204545923,-3
85983618,4398178632579,-1
85983618,13194271654275,-2
34378613122,4432538370435,-3
34378613122,4501190738307,-3
8796111896962,13194271654275,-3
8796111896962,30786390589827,2
52429186,13194271654275,4
52429186,30786390589827,-5
34395390338,4432471262083,-5
34395390338,4432538370435,-4
34395390338,4501190738307,-5
34395390338,13228564283779,-4
103081312642,4638596137347,-4
34378613122,4638596137347,-4
171800789378,4638596137347,-12
171800789378,4913457267075,-5
8796128674178,13194204545415,-4
8796128674178,13194204545923,-4
8796128674178,13194204561795,-5
8796128674178,13194271654275,-4
8796128674178,13194472980867,-5
8796128674178,13228564283779,-4
8796128674178,30786390589827,-4
26388281164162,65970729124227,-5
8796111896962,65970729124227,3
43980467208578,65970729124227,-4
43980467208578,136339456524675,-2
8796128690306,13194472996995,-8
10485902,4398111522975,1
10486150,4398178632071,12
77594758,4398178631823,2
77594758,13194271654023,3
34370224262,4432538370183,-2
34370224262,4501190738055,-4
8796103508102,13194271654023,2
8796103508102,30786390589575,2
10486658,4398111524739,10
77595010,4398178632579,0
77595010,13194271654275,8
34370224514,4432538370435,3
34370224514,4501190738307,-4
8796103508354,13194271654275,9
8796103508354,30786390589827,9
34403778690,4501257846915,-8
34403778690,13228631392387,1
8796137062530,30786457698435,2
111149186,30786457698435,2
34403778690,13297283760259,-14
34403778690,30820750327939,-3
17592230084738,30786390589575,4
17592230084738,30786390589827,1
17592230084738,30786390605955,-3
17592230084738,30786457698435,3
17592230084738,30786659025027,2
17592230084738,30820750327939,2
17592230084738,65970762678403,3
34437333122,4501257846915,-8
34437333122,13228631392387,-3
103089700994,4501257846915,3
103089700994,4638629691523,-3
103089700994,13297283760259,5
8830463246466,13228631392387,-2
34370224262,4638596137095,-5
34370224514,4638596137347,-5
34403778690,4638629691523,-9
171809177730,4638629691523,-5
171809177730,4913474044035,-5
171809177730,13434689159299,-14
103089700994,13434689159299,-2
103089700994,30889436250243,0
17626556268674,30820750327939,0
17626556268674,30889436250243,-14
17626556268674,66005088862339,0
8796170616962,13194271654023,3
8796170616962,13194271654275,-3
8796170616962,13194271670403,1
8796170616962,13194540089475,1
8796170616962,13228631392387,0
8796170616962,30786457698435,1
26388289552514,30786457698435,3
26388289552514,65970762678403,3
8796103508102,65970729123975,0
8796103508354,65970729124227,9
8796137062530,65970762678403,0
43980475596930,65970762678403,1
43980475596930,136339473301635,1
27263110,13194271654023,8
27263362,13194271654275,8
94371970,30786457698435,4
34387001474,13228631392387,8
34387001474,13297283760259,5
34387001474,30820750327939,4
17592213307522,30786457698435,6
17592213307522,65970762678403,6
60817538,30786457698435,5
34387001474,30889436250243,4
35184399351938,65970729123975,8
35184399351938,65970729124227,9
35184399351938,65970729140355,5
35184399351938,65970762678403,6
35184399351938,65970997559427,6
35184399351938,66005088862339,7
35184399351938,136339473301635,7
35184651010178,65970980798595,4
34387001474,13434689159299,4
171809177730,13709550289027,5
171809177730,31026858426499,4
17626556268674,31026858426499,-11
17626556268674,66073791561859,3
103089700994,31026858426499,0
35218742313090,66005072085127,6
35218742313090,66005072085379,5
35218742313090,66005072101507,4
35218742313090,66005088862339,3
35218742313090,66005340520579,4
35218742313090,66073791561859,4
35218742313090,136373816262787,6
52776568619138,65970712346767,4
52776568619138,65970712347015,5
52776568619138,65970712363143,4
52776568619138,65970729123975,2
52776568619138,65970980782215,4
52776568619138,66005072085127,4
52776568619138,136339456524423,5
52776568619138,65970712347523,-3
52776568619138,65970712363395,3
52776568619138,65970729124227,-3
52776568619138,65970980782467,2
52776568619138,66005072085379,6
52776568619138,136339456524675,6
