position,disk_mask,score
8796093028737,30820685340545,-2
8796093028737,65970697691009,-2
43980465113473,65970697691009,-2
43980465113473,65970697719681,-4
43980465113473,65970699784065,0
43980465113473,65970966122369,-3
43980465113473,66005057425281,-2
43980465113473,136339441864577,-2
26388279071105,30786325634945,-5
26388279071105,30786327699329,-2
26388279071105,30786594037633,-3
26388279071105,30820685340545,-2
26388279071105,65970697691009,-2
61572651155841,136339441864577,-5
26388279067011,136339441862531,-1
26388279069057,136339441864577,-2
26388279099777,136339441895297,3
26388281164161,136339443959681,2
26388547502465,136339710297985,-1
26422638805377,136373801600897,-2
96757023244673,136339441864577,-5
96757023244673,277076930217857,-2
8796093025665,65970697691009,2
8796093025665,136339441864577,1
8796093056385,136339441895297,-2
8796095120769,136339443959681,-3
8796361459073,136339710297985,-2
8830452761985,136373801600897,-3
79164837201281,136339441864577,-2
79164837201281,136339441895297,-3
79164837201281,136339443959681,3
79164837201281,136339710297985,-2
79164837201281,136373801600897,-2
79164837201281,277076930217857,1
8796093120897,65970697913217,4
8796093120897,136339441959809,4
8796095152513,136339443991425,-2
8796361490817,136339710329729,-2
8830452793729,136373801632641,-2
79164837233025,136339441895297,3
79164837233025,136339441959809,-2
79164837233025,277076930249601,4
8796099314049,65970712363905,12
8796099314049,136339448152961,3
8796363555201,136339712394113,-3
8830454858113,136373803697025,-2
79164839297409,136339443959681,3
79164839297409,136339448152961,-3
79164839297409,277076932313985,5
8796898328961,65972576732033,-3
8796898328961,136340247167873,-3
8830721196417,136374070035329,-2
79165105635713,136339710297985,-2
79165105635713,136340247167873,-2
79165105635713,277077198652289,-2
8899172237697,66211215852417,-2
8899172237697,136442521076609,-2
79199196938625,136373801600897,-2
79199196938625,136442521076609,-2
79199196938625,277111289955201,-2
114349209289089,136339441864577,-5
114349209289089,277076930217857,-2
43980465112449,277076930217857,1
43980465144193,277076930249601,4
43980467208577,277076932313985,4
43980733546881,277077198652289,4
44014824849793,277111289955201,-1
184717953466753,277076930217857,-2
903,13194139553679,3
4995,13194139557767,7
4995,30786325602179,3
33667,13194139590531,12
33667,13194139651971,5
2098051,13194141654915,12
2098051,13194145845123,3
268436355,13194407993219,7
268436355,13194944860035,5
34359739267,13228499296131,3
34359739267,13297218768771,2
17592186045315,30786325602179,5
17592186045315,65970697686915,4
35713,13194139656065,2
35713,30786325634945,2
2100097,13194145849217,3
2100097,30786327699329,3
268438401,13194944864129,2
268438401,30786594037633,2
34359741313,13297218772865,-3
34359741313,30820685340545,3
17592186047361,65970697691009,3
35713,30786325696385,-3
2100097,30786331889537,-5
268438401,30787130904449,-1
34359741313,30889404813185,-3
35184372091777,65970697691009,4
35184372091777,65970697719681,4
35184372091777,65970699784065,4
35184372091777,65970966122369,3
35184372091777,66005057425281,3
35184372091777,136339441864577,3
37761,13194139656065,-3
37761,30786325634945,-3
99201,13194139656065,11
99201,13194139783041,11
99201,30786325696385,11
2130817,13194141687681,12
2130817,13194141749121,5
2130817,13194145877889,11
2130817,30786327728001,3
268469121,13194408025985,10
268469121,13194408087425,7
268469121,13194944892801,9
268469121,30786594066305,7
34359772033,13228499328897,10
34359772033,13228499390337,-3
34359772033,13297218801537,9
34359772033,30820685369217,-2
17592186078081,30786325634945,11
17592186078081,30786325696385,-3
17592186078081,65970697719681,11
35713,13194139783041,-3
164737,13194139783041,5
164737,13194140043137,5
164737,30786325825409,-3
2130817,13194141878145,5
2130817,13194145941377,-8
2130817,30786327791489,-4
268469121,13194408216449,7
268469121,13194944956289,-3
268469121,30786594129793,-3
34359772033,13228499519361,-3
34359772033,13297218865025,-3
34359772033,30820685432705,-3
17592186078081,30786325825409,-3
17592186078081,65970697783169,-3
99201,30786325825409,11
2130817,30786331920257,-5
268469121,30787130935169,-3
34359772033,30889404843905,-3
35184372122497,65970697719681,11
35184372122497,65970697783169,-3
35184372122497,136339441895297,11
2102145,13194145849217,3
2102145,30786327699329,2
6292353,13194145849217,12
6292353,13194154233729,6
6292353,30786331889537,5
270533505,13194410090369,10
270533505,13194414280577,4
270533505,13194946957185,3
270533505,30786596130689,3
34361836417,13228501393281,4
34361836417,13228505583489,2
34361836417,13297220865921,5
34361836417,30820687433601,2
17592188142465,30786327699329,5
17592188142465,30786331889537,4
17592188142465,65970699784065,6
2100097,13194154233729,-5
2130817,13194154264449,-5
10486657,13194154233729,5
