position,disk_mask,score
412585296003,5464003707267,-3
412585296003,13710340915587,-2
8933800411267,13436536750467,-3
8933800411267,13710340915587,2
8933800411267,31027649053059,2
805307011,244544701315,-8
2952790147,248839668099,-1
2952790147,4642591211907,-6
275683213443,519422607747,-3
275683213443,1067030937987,2
275683213443,4915321635203,-2
1879048323,4642591211907,2
275683213443,5464003707267,13
275683213443,13710340915587,13
8796898328707,13436536750467,-11
8796898328707,31027649053059,-11
824902156419,1065420326787,-5
824902156419,1065957196675,-5
824902156419,2164931953539,2
824902156419,5463466836867,2
824902156419,1067030937987,-9
824902156419,2165468823939,-2
824902156419,5464003707267,-5
275683213443,2165468823939,13
1374657970307,2164931953539,2
1374657970307,2165468823939,-3
1374657970307,6562978464131,2
824902156419,6562978464131,2
824902156419,14259559858563,2
9071239364739,13709804045187,2
9071239364739,13710340915587,0
9071239364739,14259559858563,2
9071239364739,31301990089091,1
805307011,4505152258947,-3
2952790147,4509447225731,2
2952790147,13301245280643,2
138244259971,4642591211907,-3
138244259971,4915321635203,0
138244259971,13436536750467,0
8796898328707,13301245280643,-5
8796898328707,30891283841411,-1
1879048323,13301245280643,4
138244259971,13710340915587,4
138244259971,31027649053059,2
17592991350915,30890210100099,3
17592991350915,30891283841411,2
17592991350915,31027649053059,2
17592991350915,66074582188419,3
138244259971,5464003707267,4
687463202947,6562978464131,0
687463202947,14259559858563,0
8933800411267,14259559858563,2
8933800411267,31301990089091,0
412585296003,14259559858563,3
412585296003,31301990089091,-2
17729893433475,31027112182659,3
17729893433475,31027649053059,-2
17729893433475,31301990089091,2
17729893433475,66211484270979,2
26388547502211,30889673230211,-3
26388547502211,30890210100099,0
26388547502211,31027112182659,-2
26388547502211,66074045318019,1
26388547502211,30891283841411,-3
26388547502211,31027649053059,-3
26388547502211,66074582188419,0
26388547502211,66211484270979,-1
8796898328707,66074582188419,2
8933800411267,66211484270979,2
43980733546627,66074045318019,0
43980733546627,66074582188419,0
43980733546627,66211484270979,0
43980733546627,136442789495171,2
137438956675,240518172559,2
137438956675,240518176647,2
137438956675,515396079495,2
137438956675,4638564683655,0
137438958723,240518176647,2
137438958723,240518193027,-3
137438958723,240520273795,-4
137438958723,240786612099,2
137438958723,515396083587,4
137438958723,4638564687747,4
412316861571,515396083587,4
412316861571,1065151893379,4
412316861571,4913442590595,4
137438956675,515396083587,4
137438956675,1065151893379,4
137438956675,4913442590595,3
687194768515,1065151891335,3
687194768515,1065151893379,4
687194768515,1065151907715,-3
687194768515,1065153988483,-6
687194768515,1065420326787,3
687194768515,2164663519107,4
687194768515,5463198402435,3
137438956675,4638564687747,4
137438956675,13434657705859,4
412316861571,5463198402435,4
412316861571,13709535610755,4
8933531976835,13434657703815,2
8933531976835,13434657705859,4
8933531976835,13434657720195,1
8933531976835,13434659800963,-1
8933531976835,13434926139267,3
8933531976835,13709535610755,3
8933531976835,31026843748227,2
412316862595,515396079495,-3
412316862595,515396083587,2
412316862595,515396095875,-5
412316862595,515398176643,-5
412316862595,515664514947,2
412316862595,1065151893379,2
412316862595,4913442590595,2
962072674435,2164663519107,-5
412316861571,2164663519107,4
412585296003,2164931953539,2
1511828488323,2164663519107,-6
1511828488323,6562710029187,1
962072674435,6562710029187,2
9208409882755,13709535610755,-3
9208409882755,14259291423619,2
9208409882755,31301721654147,2
137438955139,1065151893379,6
137438955139,2164663519107,6
137707389571,2164931953539,4
1236950581891,2164663518087,4
1236950581891,2164663519107,-3
1236950581891,2164663534467,-1
1236950581891,2164665615235,-4
1236950581891,2164931953539,0
1236950581891,6562710029187,2
138244259971,1067030937987,-2
138244259971,2165468823939,4
1237219016835,2164931953539,-3
1237219016835,2165468823939,-3
1237219016835,6562978464131,-1
1786706395267,2164663519107,-9
1786706395267,6562710029187,0
1786706395267,15358803050883,0
9483287789699,14259291423619,0
9483287789699,15358803050883,0
9483287789699,31851477467523,0
412316861059,6562710029187,6
412585296003,6562978464131,3
1511828488323,15358803050883,2
9208409882755,15358803050883,4
9208409882755,31851477467523,4
962072674435,15358803050883,2
18004502904963,31301721654147,2
18004502904963,31851477467523,3
18004502904963,66486093742467,2
26525718020227,31026843748227,-4
26525718020227,31301721654147,0
26525718020227,66211215836035,2
26525718020227,31851477467523,5
26525718020227,66486093742467,-1
9208409882755,66486093742467,2
44117904064643,66211215836035,1
44117904064643,66486093742467,0
44117904064643,136579960013187,4
2439,240518172559,-6
5507,4638564687747,-5
268436867,240786612099,-1
268436867,241323478915,-4
268436867,4638833119107,-1
274877908355,515396083587,11
274877908355,1065151893379,11
274877908355,4913442590595,11
3459,4638564687747,-5
3459,13434657705859,-11
268436867,4639369987971,-4
268436867,13434926139267,-2
274877908355,5463198402435,11
274877908355,13709535610755,11
8796093023619,13434657705859,-5
8796093023619,31026843748227,-10
268437891,240786612099,-2
268437891,241323478915,-5
268437891,4638833119107,-2
805306755,242397218691,-4
805306755,4639369987971,-2
275146342787,515664514947,-2
275146342787,516201383811,13
275146342787,1065420326787,4
275146342787,4913711024003,4
268436867,242397218691,-4
1342177667,242397218691,-4
1342177667,244544701315,-4
1342177667,4640443728771,-4
275146342787,517275124611,11
275146342787,1065957196675,13
275146342787,4914247893891,13
805306755,4640443728771,-4
805306755,13435463009155,-10
275146342787,5463466836867,4
275146342787,13709804045187,4
8796361458051,13434926139267,-2
8796361458051,13435463009155,-7
8796361458051,31027112182659,-3
274877909379,515396079495,2
274877909379,515396083587,4
274877909379,515396095875,-4
274877909379,515398176643,-6
274877909379,515664514947,-2
274877909379,1065151893379,4
274877909379,4913442590595,-2
824633721219,1065151893379,-6
824633721219,2164663519107,4
824633721219,5463198402435,-2
274877908355,2164663519107,11
275146342787,2164931953539,4
1374389535107,2164663519107,4
1374389535107,6562710029187,0
824633721219,6562710029187,1
824633721219,14259291423619,0
9070970929539,13709535610755,-2
9070970929539,14259291423619,-1
9070970929539,31301721654147,0
2947,4638564687747,-5
2947,13434657705859,-11
268436355,4638833119107,5
268436355,4639369987971,-4
268436355,13434926139267,2
274877907843,4913442590595,11
274877907843,5463198402435,11
274877907843,13709535610755,11
8796093023107,13434657705859,-5
8796093023107,31026843748227,-10
17592186045315,31026843748227,-13
1342177667,4642591211907,-4
1342177667,13436536750467,-4
275146342787,4915321635203,10
275146342787,5464003707267,13
275146342787,13710340915587,13
8796361458051,13436536750467,-10
8796361458051,31027649053059,-10
805306755,13436536750467,-10
275146342787,14259559858563,10
275146342787,31301990089091,4
17592454480259,31027112182659,-5
17592454480259,31027649053059,-14
17592454480259,66211484270979,-14
275146342787,6562978464131,10
1374389535107,15358803050883,10
9070970929539,15358803050883,10
9070970929539,31851477467523,10
824633721219,15358803050883,10
824633721219,31851477467523,-12
17867063951747,31301721653639,12
17867063951747,31301721654147,0
17867063951747,31301721670019,3
17867063951747,31301723750787,-14
17867063951747,31301990089091,10
17867063951747,31851477467523,10
17867063951747,66486093742467,10
26388279067011,31026843748227,-4
26388279067011,66211215836035,-14
8796361458051,66211484270979,-10
9070970929539,66486093742467,10
43980465111427,66211215836035,-3
43980465111427,136579960013187,-3
274878054531,515398418563,-6
17867063967875,31301723766915,-14
274896781443,515427549315,-5
17867066048643,31301723766915,4
268436355,242397218691,-7
2415919491,244544701315,-8
2415919491,248839668099,9
2415919491,4642591211907,-10
275146342787,519422607747,-7
275146342787,1067030937987,11
1342177667,248839668099,3
5637144707,257429602435,1
5637144707,4646886178947,-4
276220084355,523717574787,14
276220084355,1069178421379,14
276220084355,4917469118595,14
3489661059,4646886178947,-4
3489661059,13438684233859,-5
276220084355,5465077448835,14
276220084355,13711414657155,14
8797435199619,13438684233859,0
8797435199619,31028722794627,-3
277293826179,519422607495,10
277293826179,519422607747,2
277293826179,519422623875,4
277293826179,519424704643,-10
277293826179,523717574787,9
277293826179,1069178421379,9
277293826179,4917469118595,3
824902156419,1069178421379,-9
824902156419,2166542565507,-4
824902156419,5465077448835,-10
275146342787,2165468823939,13
276220084355,2166542565507,14
1374657970307,2166542565507,-8
1374657970307,6563515334787,9
824902156419,6563515334787,9
824902156419,14260096729219,9
9071239364739,13711414657155,-10
9071239364739,14260096729219,9
9071239364739,31302526959747,0
805306755,4642591211907,-9
2952790147,4646886178947,-6
2952790147,13438684233859,-11
275683213443,4917469118595,-9
275683213443,5465077448835,2
275683213443,13711414657155,-8
8796898328707,13438684233859,-10
8796898328707,31028722794627,-12
1879048323,13438684233859,2
275683213443,14260096729219,13
275683213443,31302526959747,-10
17592991350915,31028722794627,-8
17592991350915,66212021141635,3
275683213443,6563515334787,13
1374657970307,15359071486083,4
9071239364739,15359071486083,4
9071239364739,31851745902723,2
824902156419,15359071486083,4
824902156419,31851745902723,-3
17867332386947,31301990088839,3
17867332386947,31301990089091,2
17867332386947,31301990105219,2
17867332386947,31301992185987,0
17867332386947,31302526959747,-7
17867332386947,31851745902723,3
17867332386947,66486362177667,3
26388547502211,31028722794627,-10
8796898328707,66212021141635,-10
9071239364739,66486362177667,0
