position,disk_mask,score
39582431182977,65970729140355,3
39582431182977,65970980798595,6
39582431182977,66005072101507,6
39582431182977,136339456540803,7
13194164699265,13194204594307,-7
13194164699265,30786357084291,-10
13194181476481,13194204594307,-6
13194181476481,13194271670403,2
13194181476481,13194472996995,-6
13194181476481,13228564299907,-3
13194181476481,30786390605955,-4
30786333966465,65970729140355,-4
13194164699265,13194472996995,-7
13194164699265,13194976313475,-14
13194164699265,30786625486979,-10
13194684792961,13194976313475,2
13194684792961,13196033278083,-2
13194684792961,30787145580675,4
30786333966465,65970980798595,-13
13194164699265,13228564299907,-4
13194164699265,13297250222211,-14
13194164699265,30820716789891,3
13262867398785,13297250222211,-4
13262867398785,13434672398467,-4
13262867398785,30889419489411,-2
30786333966465,66005072101507,-13
13194164699265,30786390605955,4
13194164699265,65970729140355,4
48378520010881,65970712395907,-5
48378520010881,65970729140355,-1
48378520010881,65970980798595,-4
48378520010881,66005072101507,-2
48378520010881,136339456540803,2
30786342355073,65970729140355,-8
30786862448769,65971509280899,-11
30855045054593,66073783189635,-11
30786325578113,136339448152451,2
30786325610625,136339448184963,3
30786333966465,136339456540803,3
30786594013313,136339716587651,-4
30820685316225,136373807890563,-5
101155069755521,136339456540803,-12
101155069755521,136339716587651,-13
101155069755521,136373807890563,-13
101155069755521,277076936507523,-7
13195750146177,13198172373123,-9
13195750146177,30788210933891,1
13196823888001,13198172373123,-12
13196823888001,13202463146115,2
13196823888001,30790354223235,2
30786862448769,65972578828419,-3
13195750146177,30790354223235,4
13195750146177,65972578828419,9
48379048493185,65971509280899,-12
48379048493185,65972578828419,-3
48379048493185,136340249264259,4
30787399319681,65972578828419,-1
30786325578113,136339712393603,-1
30786325610625,136339712426115,0
30786329772161,136339716587651,2
30786862448769,136340249264259,4
30820685316225,136374072131715,4
101155069755521,136340249264259,-12
101155069755521,277077200748675,-7
13400297963649,13709541916803,-11
13400297963649,31026850054275,-11
13537736917121,13709541916803,-11
13537736917121,14259293536387,-4
13537736917121,31301723766915,-2
13400297963649,31301723766915,-4
13400297963649,66211217948803,3
48447231099009,66073783189635,-11
48447231099009,66211217948803,-2
48447231099009,136442523172995,-1
30923764531329,66211217948803,-2
30786325578113,136373803696515,-1
30786325610625,136373803729027,-2
30786329772161,136373807890563,0
30786594013313,136374072131715,3
30855045054593,136442523172995,-2
101155069755521,136442523172995,-14
101155069755521,277111292051587,-5
13194139534209,65970699782019,-2
13194139566465,136339443990915,-4
13194143728001,136339448152451,-2
13194407969153,136339712393603,-2
13228499272065,136373803696515,-3
83562883711361,136339443958659,-4
83562883711361,136339448152451,-3
83562883711361,136339712393603,-3
83562883711361,136373803696515,-2
83562883711361,277076932313475,-2
13194139631745,65970700009603,2
13194139631745,136339444056195,0
13194143760513,136339448184963,-2
13194408001665,136339712426115,-2
13228499304577,136373803729027,-4
83562883743873,136339444056195,-4
83562883743873,136339448184963,0
83562883743873,136339712426115,1
83562883743873,136373803729027,-3
83562883743873,277076932345987,2
13194152116353,65970729140355,-2
13194152116353,136339456540803,-2
13194412163201,136339716587651,-2
13228503466113,136373807890563,-1
83562887905409,136339448184963,2
83562887905409,136339456540803,2
83562887905409,136339716587651,-2
83562887905409,136373807890563,-3
83562887905409,277076936507523,2
