position,disk_mask,score
68719493657,4501125743519,3
4398046528025,4501125743519,2
4398046528025,13228499288991,3
17945,4398046531487,13
17945,13194139551647,13
268452377,4398851834783,14
268452377,13194407986079,14
34359755289,4501125743519,14
34359755289,13228499288991,14
8796093039129,13194139550655,7
8796093039129,13194139551647,2
8796093039129,13194139583391,-3
8796093039129,13194141647775,0
8796093039129,13194407986079,0
8796093039129,13228499288991,1
8796093039129,30786325595039,7
50201,51135,4
50201,53151,4
50201,116639,-1
50201,2148255,14
50201,268486559,4
50201,34359789471,3
50201,4398046562207,4
114713,246687,3
2146329,2212767,-3
2146329,6341535,-4
2146329,270582687,-2
2146329,34361885599,-1
2146329,4398048658335,0
268484633,268551071,-3
268484633,270582687,-2
268484633,805356447,-3
268484633,34628223903,0
268484633,4398314996639,0
34359787545,34359853983,-3
34359787545,34361885599,-2
34359787545,34628223903,0
34359787545,103079265183,2
34359787545,4432406299551,2
4398046560281,4398046626719,-3
4398046560281,4398048658335,-3
4398046560281,4398314996639,-2
4398046560281,4432406299551,-2
4398046560281,13194139583391,-1
49209,246207,-3
180249,246687,-1
180249,508319,4
180249,2343327,0
180249,268681631,4
180249,34359984543,4
180249,4398046757279,4
268484633,268681631,14
268484633,270647711,-2
268484633,805421471,14
268484633,34628288927,1
268484633,4398315061663,14
34359787545,34359984543,14
34359787545,34361950623,-2
34359787545,34628288927,1
34359787545,103079330207,14
34359787545,4432406364575,14
4398046560281,4398046757279,-3
4398046560281,4398048723359,-3
4398046560281,4398315061663,0
4398046560281,4432406364575,0
4398046560281,13194139648415,-1
114713,2343327,0
4243481,6341535,-2
4243481,6406559,-2
4243481,14729631,0
4243481,274776479,5
4243481,34366079391,5
4243481,4398052852127,5
268484633,274776479,0
268484633,807453087,-2
268484633,34630320543,2
268484633,4398317093279,2
34359787545,34366079391,0
34359787545,34630320543,3
34359787545,103081361823,0
34359787545,4432408396191,2
4398046560281,4398052852127,-1
4398046560281,4398317093279,2
4398046560281,4432408396191,3
4398046560281,13194141680031,4
114713,268681631,3
536920089,805356447,3
536920089,805421471,3
536920089,807453087,0
536920089,1879097759,0
536920089,35165094303,3
536920089,4398851867039,4
34359787545,35165094303,3
34359787545,103347700127,4
34359787545,4432674734495,5
4398046560281,4398851867039,3
4398046560281,4432674734495,4
4398046560281,13194408018335,4
114713,34359984543,3
268484633,35165094303,3
268484633,103347700127,3
268484633,4432674734495,10
68719525913,103079265183,0
68719525913,103079330207,3
68719525913,103081361823,2
68719525913,103347700127,3
68719525913,240518218143,11
68719525913,4501125775775,3
4398046560281,4501125775775,2
4398046560281,13228499321247,3
114713,4398046757279,3
268484633,4398851867039,14
268484633,13194408018335,14
34359787545,4501125775775,14
34359787545,13228499321247,14
8796093071385,13194139583391,0
8796093071385,13194139648415,0
8796093071385,13194141680031,2
8796093071385,13194408018335,2
8796093071385,13228499321247,2
8796093071385,30786325627295,4
2114585,2115519,5
2114585,2117535,5
2114585,2148255,4
2114585,6309791,-4
2114585,270550943,4
2114585,34361853855,5
2114585,4398048626591,5
6307865,6341535,4
6307865,14697375,5
6307865,274744223,4
6307865,34366047135,5
6307865,4398052819871,5
270549017,34630288287,-5
34361851929,34630288287,-4
4398048624665,4398317061023,-4
4398048624665,4432408363935,-3
4398048624665,13194141647775,-3
2179097,2343327,4
2179097,270647711,-2
2179097,34361950623,-3
2179097,4398048723359,0
6307865,6406559,2
6307865,14729631,-2
6307865,274776479,6
6307865,34366079391,6
6307865,4398052852127,7
270549017,34630320543,-4
34361851929,34630320543,-2
4398048624665,4398048723359,-14
4398048624665,4398317093279,-2
4398048624665,4432408396191,-3
4398048624665,13194141680031,-2
2113593,14696895,-14
10502169,31474079,-5
10502169,283132319,0
10502169,34374435231,0
10502169,4398061207967,0
270549017,34634482079,-5
34361851929,34634482079,-4
4398048624665,4398061207967,-14
4398048624665,4398321254815,-4
4398048624665,4432412557727,-3
4398048624665,13194145841567,-3
6307865,283132319,-2
6307865,811614623,12
6307865,34634482079,10
6307865,4398321254815,10
538984473,807420831,-2
538984473,807453087,-2
538984473,811614623,-2
538984473,1881162143,-2
538984473,35167158687,6
538984473,4398853931423,2
34361851929,35167158687,-2
34361851929,103349764511,-2
34361851929,4432676798879,3
4398048624665,4398853931423,-2
4398048624665,4432676798879,4
4398048624665,13194410082719,0
6307865,34374435231,-3
6307865,103085523359,8
6307865,4432412557727,9
270549017,35167158687,-3
270549017,103349764511,-2
270549017,4432676798879,0
68721590297,103081329567,-3
68721590297,103081361823,-3
68721590297,103085523359,-3
68721590297,103349764511,4
68721590297,240520282527,4
68721590297,4501127840159,0
4398048624665,4501127840159,-2
4398048624665,13228501385631,3
6307865,4398061207967,3
6307865,13194145841567,10
8796095135769,13194141647775,-3
8796095135769,13194141680031,0
8796095135769,13194145841567,-3
8796095135769,13194410082719,0
8796095135769,13228501385631,0
8796095135769,30786327691679,7
268452889,268453823,4
268452889,268455839,4
268452889,268486559,-2
268452889,270550943,4
268452889,805324703,2
268452889,34628192159,0
268452889,4398314964895,2
805322777,805356447,-12
805322777,807420831,-13
805322777,1879065503,-3
805322777,35165062047,-3
805322777,4398851834783,-3
34628190233,34630288287,-13
4398314962969,4398314996639,-13
4398314962969,4398317061023,-13
4398314962969,4398851834783,-4
4398314962969,4432674702239,-3
4398314962969,13194407986079,-3
268517401,268551071,-3
268517401,268681631,-2
268517401,270647711,-2
268517401,805421471,-2
268517401,34628288927,-3
268517401,4398315061663,0
805322777,805421471,-5
805322777,807453087,-4
805322777,1879097759,-12
805322777,35165094303,-3
805322777,4398851867039,-3
34628190233,34630320543,-3
4398314962969,4398315061663,-6
4398314962969,4398317093279,-3
4398314962969,4398851867039,-3
4398314962969,4432674734495,-3
4398314962969,13194408018335,-3
272646169,274744223,4
272646169,274776479,4
272646169,283132319,-2
272646169,811614623,0
272646169,34634482079,4
272646169,4398321254815,4
805322777,811614623,-13
805322777,1881162143,-2
805322777,35167158687,1
805322777,4398853931423,3
34628190233,34634482079,-13
34628190233,35167158687,-4
34628190233,103349764511,-2
34628190233,4432676798879,0
4398314962969,4398321254815,-13
4398314962969,4398853931423,-4
4398314962969,4432676798879,-2
4398314962969,13194410082719,-3
268451897,1879065023,-3
268452377,1879065503,14
268484633,1879097759,14
1342193689,1879065503,-3
1342193689,1879097759,-11
1342193689,1881162143,-2
1342193689,4026548639,-3
1342193689,36238803359,0
1342193689,4399925576095,2
4398314962969,4399925576095,-4
4398314962969,4433211572639,-2
4398314962969,13194944856479,-2
805322777,36238803359,-2
805322777,103884538271,0
805322777,4433211572639,2
68987928601,103347667871,-3
68987928601,103347700127,-3
68987928601,103349764511,0
68987928601,103884538271,-2
68987928601,240786620831,-2
68987928601,4501394178463,2
4398314962969,4501394178463,-3
4398314962969,13228767723935,-1
805322777,4399925576095,-2
805322777,13194944856479,9
8796361474073,13194407986079,-3
8796361474073,13194408018335,-3
8796361474073,13194410082719,-2
8796361474073,13194944856479,-1
8796361474073,13228767723935,-1
8796361474073,30786594029983,4
34359755801,34359756735,4
34359755801,34359758751,4
34359755801,34359789471,-2
34359755801,34361853855,4
34359755801,34628192159,0
34359755801,103079233439,2
34359755801,4432406267807,2
103079231513,103079265183,-12
103079231513,103081329567,-13
103079231513,103347667871,-3
103079231513,240518185887,-3
103079231513,4501125743519,-2
4432406265881,4432406299551,-13
4432406265881,4432408363935,-13
4432406265881,4432674702239,-3
4432406265881,4501125743519,-2
34359820313,34359853983,-3
34359820313,34359984543,-2
34359820313,34361950623,3
34359820313,34628288927,-3
34359820313,103079330207,-2
34359820313,4432406364575,0
103079231513,103079330207,-3
103079231513,103081361823,-2
103079231513,103347700127,-3
103079231513,240518218143,-3
103079231513,4501125775775,-2
4432406265881,4432406364575,-3
4432406265881,4432408396191,-2
4432406265881,4432674734495,-3
4432406265881,4501125775775,-2
34363949081,34366047135,4
34363949081,34366079391,4
34363949081,34374435231,3
34363949081,34634482079,4
34363949081,103085523359,4
34363949081,4432412557727,5
103079231513,103085523359,-13
103079231513,103349764511,4
103079231513,240520282527,4
103079231513,4501127840159,4
4432406265881,4432412557727,-13
4432406265881,4432676798879,1
4432406265881,4501127840159,-2
34896625689,35165062047,-3
34896625689,35165094303,-3
34896625689,35167158687,0
34896625689,36238803359,-1
34896625689,103884538271,-1
34896625689,4433211572639,4
103079231513,103884538271,-2
103079231513,240786620831,-2
103079231513,4501394178463,5
4432406265881,4433211572639,-2
4432406265881,4501394178463,-2
34359754809,240518185407,-3
34359755289,240518185887,14
34359787545,240518218143,14
171798708249,240518185887,-3
171798708249,240518218143,-3
171798708249,240520282527,2
171798708249,240786620831,2
171798708249,515396092319,-2
171798708249,4638564696479,4
4432406265881,4638564696479,-2
103079231513,4638564696479,7
103079231513,13297218765215,6
8830452776985,13228499288991,-3
8830452776985,13228499321247,-3
8830452776985,13228501385631,3
8830452776985,13228767723935,0
8830452776985,13297218765215,2
8830452776985,30820685332895,7
4398046528537,4398046529471,-2
4398046528537,4398046531487,-2
4398046528537,4398046562207,-3
4398046528537,4398048626591,4
4398046528537,4398314964895,-2
4398046528537,4432406267807,-2
4398046528537,13194139551647,-1
13194139549721,13194139583391,-12
13194139549721,13194141647775,-13
13194139549721,13194407986079,-3
13194139549721,13228499288991,-3
13194139549721,30786325595039,-3
4398046593049,4398046626719,-3
4398046593049,4398046757279,-3
4398046593049,4398048723359,-2
4398046593049,4398315061663,-3
4398046593049,4432406364575,-3
4398046593049,13194139648415,-3
13194139549721,13194139648415,-4
13194139549721,13194141680031,-3
13194139549721,13194408018335,-3
13194139549721,13228499321247,-4
13194139549721,30786325627295,-3
4398050721817,4398052819871,4
4398050721817,4398052852127,4
4398050721817,4398061207967,-2
4398050721817,4398321254815,4
4398050721817,4432412557727,5
4398050721817,13194145841567,3
13194139549721,13194145841567,-13
13194139549721,13194410082719,-2
13194139549721,13228501385631,4
13194139549721,30786327691679,-2
4398583398425,4398851834783,-3
4398583398425,4398851867039,-3
4398583398425,4398853931423,-2
4398583398425,4399925576095,-2
4398583398425,4433211572639,2
4398583398425,13194944856479,1
13194139549721,13194944856479,-2
13194139549721,13228767723935,0
13194139549721,30786594029983,-2
4466766004249,4501125743519,-4
4466766004249,4501125775775,-4
4466766004249,4501127840159,5
4466766004249,4501394178463,1
4466766004249,4638564696479,-1
4466766004249,13297218765215,0
13194139549721,13297218765215,-1
13194139549721,30820685332895,-1
4398046527545,30786325594559,-2
4398046528025,30786325595039,3
4398046560281,30786325627295,3
4398048624665,30786327691679,2
4398314962969,30786594029983,2
16697,115647,-2
16697,246207,-3
16697,2212287,-3
16697,268550591,-3
16697,34359853503,-3
16697,4398046626239,-2
147513,246207,-3
147513,508095,-2
147513,2343103,-3
