position,disk_mask,score
52776564473856,136339448185728,12
52776564473856,65970704204160,13
52776564473856,65970712461696,13
52776564473856,65970972508544,2
52776564473856,66005063811456,7
52776564473856,136339448250752,13
52776564473856,65970729173376,13
52776564473856,65970980831616,11
52776564473856,66005072134528,0
52776564473856,136339456573824,13
52776564473856,65971509313920,8
52776564473856,66005332181376,14
52776564473856,136339716620672,12
52776564473856,66073783222656,11
52776564473856,136373807923584,11
87960936562688,136339448185728,4
87960936562688,136339448250752,12
87960936562688,136339456573824,0
87960936562688,136339716620672,10
87960936562688,136373807923584,10
87960936562688,277076936540544,11
61572653301760,136339444056960,-2
61572653301760,136339448185728,0
61572653301760,136339712426880,0
61572653301760,136373803729792,0
26388281213952,136339443992448,13
26388285407232,136339448185728,4
96757025390592,136339444056960,-6
96757025390592,136339448185728,-3
96757025390592,136339712426880,0
96757025390592,136373803729792,0
96757025390592,277076932346752,1
26388281475072,30786328183680,-4
26388281475072,30786328707456,-2
26388281475072,30786332377472,-6
26388281475072,30786596618624,-2
26388281475072,30820687921536,-2
26388281475072,65970700272000,-2
61572653301760,136339444187520,-2
61572653301760,136339448250752,-1
61572653301760,136339712491904,-2
61572653301760,136373803794816,-1
26388281344000,136339444187520,4
26388285407232,136339448250752,12
96757025390592,136339444187520,-2
96757025390592,136339448250752,-1
96757025390592,136339712491904,-1
96757025390592,136373803794816,-2
96757025390592,277076932411776,0
26388297990144,30786357085056,-2
26388297990144,30786357150080,0
26388297990144,30786390638976,2
26388297990144,30786625520000,2
26388297990144,30820716822912,-2
26388297990144,65970729173376,0
61572653301760,136339456573824,-2
61572653301760,136339716620672,2
61572653301760,136373807923584,1
26388281213440,136339448185728,11
26388289601536,136339456573824,11
96757025390592,136339456573824,-4
96757025390592,136339716620672,1
96757025390592,136373807923584,1
96757025390592,277076936540544,1
26389354954752,30788206773120,0
26389354954752,30788206838144,-2
26389354954752,30788210966912,2
26389354954752,30790354256256,5
26389354954752,30822566510976,5
26389354954752,65972578861440,5
61572653301760,136340249297280,3
61572653301760,136374072164736,9
26388285407232,136339716620672,10
