position,disk_mask,score
8797435297920,13202463244416,5
8797435297920,30790354321536,6
3489759360,13202463244416,11
3489759360,30790354321536,5
17593528320128,30788206968960,6
17593528320128,30788211032192,12
17593528320128,30790354321536,6
17593528320128,30822566576256,6
17593528320128,65972578926720,10
8798509039744,13198168408192,6
8798509039744,13202463244416,12
8798509039744,13232528015488,11
8798509039744,30790354321536,12
26388547600512,30790354321536,-4
26388547600512,65972578926720,0
8796365750400,65971509379200,11
8797435297920,65972578926720,10
43980733644928,65972578926720,3
43980733644928,136340249362560,7
2952888448,13202463244416,14
2952888448,30790354321536,6
17592991449216,30790354321536,12
17592991449216,65972578926720,12
1879146624,30790354321536,5
35185177493632,65971505315968,12
35185177493632,65971509379200,11
35185177493632,65972578926720,12
35185177493632,66005864923264,14
35185177493632,136340249362560,12
52776826667136,65970968707200,7
52776826667136,65970972639360,4
52776826667136,65971505315968,3
52776826667136,66005328183424,11
52776826667136,136339712622720,6
52776826667136,65970980896896,-2
52776826667136,65971509379200,4
52776826667136,66005332246656,3
52776826667136,136339716685952,4
52776826667136,65972578926720,4
52776826667136,66005864923264,6
52776826667136,136340249362560,7
52776826667136,66074047529088,9
52776826667136,136374072230016,11
17592991449216,136340249362560,12
87961198755968,136339712622720,4
87961198755968,136339716685952,4
87961198755968,136340249362560,6
87961198755968,136374072230016,11
87961198755968,277077200846976,11
26388279689344,30786332901504,4
26388279689344,30786597142656,2
26388279689344,30820688445568,3
26388279689344,65970700796032,0
61572651253888,136339444449408,4
61572651253888,136339448381568,4
61572651253888,136339712622720,2
61572651253888,136373803925632,3
26388279427200,136339444449408,2
26388283359360,136339448381568,11
26388547600512,136339712622720,10
96757023342720,136339444449408,0
96757023342720,136339448381568,2
96757023342720,136339712622720,2
96757023342720,136373803925632,-5
96757023342720,277076932542592,0
26388295942272,30786357149825,4
26388295942272,30786357150080,0
26388295942272,30786357280896,-2
26388295942272,30786390704256,4
26388295942272,30786625585280,3
26388295942272,30820716888192,1
26388295942272,65970729238656,6
61572651253888,136339456639104,-2
61572651253888,136339716685952,0
61572651253888,136373807988864,0
26388287553664,136339456639104,9
26388547600512,136339716685952,4
96757023342720,136339456639104,-3
96757023342720,136339716685952,1
96757023342720,136373807988864,2
96757023342720,277076936605824,3
26389352906880,30788206968960,2
26389352906880,30788211032192,3
26389352906880,30790354321536,2
26389352906880,65972578926720,2
61572651253888,136340249362560,2
26388283359360,136339716685952,7
26388816035968,136340249362560,12
96757023342720,136340249362560,0
96757023342720,277077200846976,4
26525718118528,31026846089344,2
26525718118528,31026850152576,1
26525718118528,31301723865216,0
26525718118528,66211218047104,3
61572651253888,136442523271296,2
26388283359360,136373807988864,11
26388547600512,136374072230016,11
26456998641792,136442523271296,3
96757023342720,136442523271296,-14
96757023342720,277111292149888,3
79164837429376,136339444449408,7
8796105703552,65970729238656,11
8796105703552,136339456639104,11
8796365750400,136339716685952,11
79164841492608,136339448250497,11
79164841492608,136339448250752,7
79164841492608,136339448381568,11
79164841492608,136339456639104,4
79164841492608,136339716685952,7
79164841492608,136373807988864,11
79164841492608,277076936605824,11
8796898427008,65972578926720,12
8796898427008,136340249362560,6
79165105733760,136339712622720,10
79165105733760,136339716685952,4
79165105733760,136340249362560,6
79165105733760,136374072230016,11
79165105733760,277077200846976,11
114349209387136,136339444449408,7
114349209387136,136339448381568,4
114349209387136,136339712622720,3
114349209387136,136373803925632,3
114349209387136,277076932542592,7
114349209387136,136339456639104,-4
114349209387136,136339716685952,1
114349209387136,136373807988864,-2
114349209387136,277076936605824,4
114349209387136,136340249362560,2
114349209387136,277077200846976,4
114349209387136,136442523271296,1
114349209387136,277111292149888,4
43980469403776,277076936605824,11
43980733644928,277077200846976,11
184717953564800,277076932542592,4
184717953564800,277076936605824,4
184717953564800,277077200846976,4
184717953564800,277111292149888,3
12615828,14729407,12
12615828,14729631,14
12615828,14794911,4
12615828,31506591,12
12615828,283164831,12
12615828,34374467743,12
12615828,4398061240479,12
29393028,65061007,11
12615820,14729631,12
12615820,14730127,12
12615820,14795151,7
12615820,31506831,13
12615820,283165071,11
12615820,34374467983,11
12615820,4398061240719,13
29393028,65061255,12
12615820,14794911,6
12615820,14925967,0
12615820,31572111,-2
12615820,283230351,3
12615820,34374533263,3
12615820,4398061305999,4
29393028,65126535,4
12615820,31506591,4
12615820,65061007,4
12615820,299942031,3
12615820,34391244943,3
12615820,4398078017679,11
46170244,65061007,11
46170244,65061255,9
46170244,65126535,0
46170244,132169863,6
46170244,333496455,3
46170244,34424799367,3
46170244,4398111572103,6
12615820,283164831,11
12615820,820035727,5
12615820,4398329675919,11
29393028,333496455,11
549486724,820035975,13
12615820,34374467743,12
12615820,103093944463,9
12615820,4432420978831,12
29393028,34424799367,11
68732092548,103093944463,12
68732092548,103093944711,13
68732092548,103094009991,12
68732092548,103110721671,12
68732092548,240532897927,12
68732092548,4501140455559,12
12615820,4398061240479,11
12615820,13194154262671,10
29393028,4398111572103,11
8796105638020,13194154262671,11
8796105638020,13194154262919,11
8796105638020,13194154328199,5
8796105638020,13194171039879,6
8796105638020,13194422698119,10
8796105638020,13228514001031,12
8796105638020,30786340307079,11
29393032,65061007,11
29393028,132169863,11
29458560,132235395,11
96501888,132169863,7
96501888,132170115,10
96501888,132235395,6
96501888,400605315,10
96501888,34491908227,10
96501888,4398178680963,10
68748869760,103144276099,13
8796122415232,13194204594307,10
29394048,65062785,10
29458560,132235649,12
96501888,132170625,6
96501888,132235649,5
96501888,400605569,11
96501888,34491908481,10
96501888,4398178681217,9
566263936,870367617,12
68748869760,103144276353,13
8796122415232,13194204594561,9
29655168,65519745,5
29524096,132366465,7
96501888,132366465,5
96501888,400670849,5
96501888,34491973761,5
96501888,4398178746497,4
297828480,400670849,14
34389131392,34491973761,5
68748869760,103144341633,13
8796122415232,13194204659841,5
12812416,65519745,13
79790208,132235395,11
79790208,132235649,12
79790208,132366465,13
79790208,400670849,12
79790208,34491973761,12
79790208,4398178746497,13
113279104,132169863,3
113279104,132170115,8
113279104,132235395,3
113279104,400605315,3
113279104,34491908227,3
113279104,4398178680963,6
113279104,132170625,2
113279104,4398178681217,6
113279104,132366465,3
113279104,4398178746497,3
113279104,937476225,3
113279104,4398447116417,11
113279104,103211384961,10
113279104,4432538419329,11
68765646976,103144276099,11
68765646976,103211384961,11
68765646976,240583229569,11
68765646976,4501190787201,11
113279104,13194271703169,11
8796139192448,13194204594307,6
8796139192448,13194204594561,6
8796139192448,13194204659841,3
8796139192448,13194271703169,11
8796139192448,13194473029761,11
8796139192448,13228564332673,11
8796139192448,30786390638721,11
29458560,400670849,12
96501888,937476225,5
96501888,4398447116417,11
8796122415232,13194473029761,11
1623228544,4041261441,13
8796642508928,13194959569281,12
29458560,34491973761,12
96501888,103211384961,10
96501888,4432538419329,11
68748869760,103211384961,13
68748869760,240583229569,13
68748869760,4501190787201,11
137468346496,240583229569,12
8796122415232,13228564332673,11
206171046016,240532898179,13
206171046016,240532963459,12
206171046016,240549675139,13
206171046016,515410804867,13
