position,disk_mask,score
103079215258,4501127872671,4
34896609434,35165159583,2
34896609434,35167191199,3
34896609434,36238835871,-1
34896609434,103884570783,2
34896609434,4433211605151,4
103079215258,103884570783,-3
103079215258,240786653343,-2
103079215258,4501394210975,1
34359738554,240518217919,-3
34359738778,240518218143,-3
34359804058,240518283423,-2
34361835674,240520315039,-3
34628173978,240786653343,-4
171798691994,240518283423,-3
171798691994,240520315039,0
171798691994,240786653343,-2
171798691994,515396124831,-3
171798691994,4638564728991,-3
103079215258,4638564728991,-2
103079215258,13297218797727,2
8830452760730,13228499386527,-3
8830452760730,13228501418143,-2
8830452760730,13228767756447,-2
8830452760730,13297218797727,-3
8830452760730,30820685365407,-1
442,6308799,-3
442,14696895,-8
442,274743743,-8
442,34366046655,-6
442,4398052819391,-1
32954,6406335,-5
32954,14729407,-12
32954,274776255,-12
32954,34366079167,-7
32954,4398052851903,-1
8388794,14729407,-3
8388794,31473855,-3
8388794,283132095,1
8388794,34374435007,-2
8388794,4398061207743,3
268435642,283132095,-10
268435642,811614399,2
268435642,34634481855,-2
268435642,4398321254591,3
34359738554,34374435007,-6
34359738554,34634481855,1
34359738554,103085523135,-3
34359738554,4432412557503,-3
442,270549951,-2
442,807420351,-3
442,4398317060543,-1
32954,270647487,-5
32954,807452863,-4
32954,4398317093055,-1
4194490,283132095,0
4194490,811614399,0
4194490,4398321254591,3
536871098,811614399,-6
536871098,1881161919,-4
536871098,4398853931199,0
34359738554,35167158463,2
34359738554,103349764287,0
34359738554,4432676798655,3
442,34361852863,-2
442,103081329087,-2
442,4432408363455,1
32954,34361950399,-5
32954,103081361599,-2
32954,4432408395967,3
4194490,34374435007,-4
4194490,103085523135,-4
4194490,4432412557503,0
268435642,35167158463,2
268435642,103349764287,-2
268435642,4432676798655,3
68719476922,103085523135,-11
68719476922,240520282303,-2
68719476922,4501127839935,2
442,4398048625599,1
442,13194141647295,3
32954,4398048723135,-2
32954,13194141679807,7
4194490,4398061207743,0
4194490,13194145841343,7
268435642,4398853931199,1
268435642,13194410082495,1
34359738554,4501127839935,0
34359738554,13228501385407,3
8796093022394,13194145841343,-3
8796093022394,13194410082495,-2
8796093022394,13228501385407,-3
8796093022394,30786327691455,0
442,2115519,-3
1434,2117535,14
1434,6309791,-3
1434,270550943,2
1434,34361853855,1
1434,4398048626591,14
33178,6341535,-2
268435866,270550943,2
268435866,274744223,2
268435866,807420831,3
268435866,34630288287,2
268435866,4398317061023,3
34359738778,34361853855,2
34359738778,34366047135,-2
34359738778,34630288287,5
34359738778,103081329567,2
34359738778,4432408363935,3
922,6309791,-2
33178,6406559,-4
33178,14729631,-13
33178,274776479,-13
33178,34366079391,-2
33178,4398052852127,3
8389018,14696895,3
8389018,14697375,3
8389018,14729631,3
8389018,31474079,2
8389018,283132319,1
8389018,34374435231,3
8389018,4398061207967,3
268435866,283132319,-6
268435866,811614623,3
268435866,34634482079,3
268435866,4398321254815,3
34359738778,34374435231,-5
34359738778,34634482079,1
34359738778,103085523359,-3
34359738778,4432412557727,-3
922,270550943,-2
536871322,807420831,2
536871322,811614623,-6
536871322,1881162143,-4
536871322,4398853931423,1
34359738778,35167158687,4
34359738778,103349764511,5
34359738778,4432676798879,5
922,34361853855,2
268435866,35167158687,7
268435866,103349764511,6
268435866,4432676798879,7
68719477146,103081329567,1
68719477146,103085523359,-6
68719477146,240520282527,2
68719477146,4501127840159,3
922,4398048626591,2
268435866,4398853931423,6
268435866,13194410082719,7
34359738778,4501127840159,4
34359738778,13228501385631,4
8796093022618,13194141647775,3
8796093022618,13194145841567,3
8796093022618,13194410082719,3
8796093022618,13228501385631,2
8796093022618,30786327691679,4
32954,2343103,-5
163994,2605215,3
163994,6537375,-2
163994,270778527,-2
163994,34362081439,0
163994,4398048854175,3
268468378,270778527,-2
268468378,274841759,-2
268468378,807518367,-3
268468378,34630385823,3
268468378,4398317158559,3
34359771290,34362081439,-4
34359771290,34366144671,-4
34359771290,34630385823,-2
34359771290,103081427103,-3
34359771290,4432408461471,-2
98458,6537375,3
98458,14794911,-3
98458,274841759,-2
98458,34366144671,-2
98458,4398052917407,3
8421530,14729407,8
8421530,14729631,7
8421530,14794911,-2
8421530,31506591,2
8421530,283164831,5
8421530,34374467743,2
8421530,4398061240479,7
268468378,283164831,-6
268468378,811647135,3
268468378,34634514591,2
268468378,4398321287327,3
34359771290,34374467743,-7
34359771290,34634514591,5
34359771290,103085555871,2
34359771290,4432412590239,3
98458,270778527,3
98458,807518367,3
98458,4398317158559,4
536903834,807518367,-3
536903834,811647135,-12
536903834,1881194655,-4
536903834,4398853963935,5
34359771290,35167191199,7
34359771290,103349797023,9
34359771290,4432676831391,10
98458,34362081439,3
98458,103081427103,2
98458,4432408461471,3
268468378,35167191199,7
268468378,103349797023,7
268468378,4432676831391,9
68719509658,103081427103,-2
68719509658,103085555871,-5
68719509658,240520315039,-2
68719509658,4501127872671,3
98458,4398048854175,9
98458,13194141745311,9
268468378,4398853963935,6
268468378,13194410115231,8
34359771290,4501127872671,4
34359771290,13228501418143,5
8796093055130,13194141745311,0
8796093055130,13194145874079,3
8796093055130,13194410115231,2
8796093055130,13228501418143,3
8796093055130,30786327724191,3
12583066,14729407,5
12583066,31473855,10
12583066,283132095,7
12583066,34374435007,6
12583066,4398061207743,9
12583066,14794911,1
12583066,31506591,5
12583066,283164831,5
12583066,34374467743,1
12583066,4398061240479,4
4194490,31473855,-4
20971674,31473855,4
20971674,31506591,0
20971674,65028255,0
20971674,299909279,4
20971674,34391212191,-2
20971674,4398077984927,4
272629914,299909279,-4
272629914,820002975,-2
272629914,34642870431,0
272629914,4398329643167,0
34363932826,34391212191,4
34363932826,34642870431,4
34363932826,103093911711,1
34363932826,4432420946079,3
12583066,299909279,4
12583066,820002975,0
12583066,4398329643167,5
541065370,811614399,5
541065370,811647135,-5
541065370,820002975,0
541065370,1885356191,0
541065370,4398858125471,5
34363932826,35171352735,7
34363932826,103353958559,9
34363932826,4432680992927,10
12583066,34391212191,3
12583066,103093911711,4
12583066,4432420946079,4
272629914,35171352735,7
272629914,103353958559,7
272629914,4432680992927,9
68723671194,103085523135,6
68723671194,103085555871,-6
68723671194,103093911711,-4
68723671194,240524476575,5
68723671194,4501132034207,4
12583066,4398077984927,10
12583066,13194154229919,9
272629914,4398858125471,4
272629914,13194414276767,8
34363932826,4501132034207,4
34363932826,13228505579679,5
8796097216666,13194145841343,5
8796097216666,13194145874079,3
8796097216666,13194154229919,1
8796097216666,13194414276767,3
8796097216666,13228505579679,0
8796097216666,30786331885727,5
276824218,283132095,4
276824218,283164831,3
276824218,299909279,2
276824218,820002975,3
276824218,34642870431,3
276824218,4398329643167,4
805306522,820002975,-6
805306522,1885356191,-4
805306522,35171352735,3
805306522,4398858125471,3
34628173978,34642870431,-11
34628173978,35171352735,-9
34628173978,103353958559,-4
34628173978,4432680992927,-2
268435642,1881161919,-3
268435866,1881162143,1
268468378,1881194655,3
272629914,1885356191,-2
1342177434,1885356191,2
1342177434,4028645535,3
1342177434,36240900255,3
1342177434,4399927672991,2
34628173978,36240900255,-2
34628173978,103886635167,-2
34628173978,4433213669535,-1
805306522,36240900255,-2
805306522,103886635167,2
805306522,4433213669535,4
68987912346,103353958559,3
68987912346,103886635167,3
68987912346,240788717727,5
68987912346,4501396275359,4
805306522,4399927672991,1
805306522,13194946953375,4
34628173978,4501396275359,0
34628173978,13228769820831,3
8796361457818,13194414276767,3
8796361457818,13194946953375,2
8796361457818,13228769820831,3
8796361457818,30786596126879,1
34368127130,34374435007,3
34368127130,34374467743,-3
34368127130,34391212191,-2
34368127130,34642870431,5
34368127130,103093911711,2
34368127130,4432420946079,3
103079215258,103093911711,-5
103079215258,103353958559,2
103079215258,240524476575,-3
103079215258,4501132034207,2
34896609434,35171352735,2
34896609434,36240900255,0
34896609434,103886635167,3
34896609434,4433213669535,5
103079215258,103886635167,4
103079215258,240788717727,5
103079215258,4501396275359,5
34359738554,240520282303,-3
34359738778,240520282527,3
34359771290,240520315039,2
34363932826,240524476575,3
34628173978,240788717727,-2
171798691994,240524476575,-3
171798691994,240788717727,1
171798691994,515398189215,0
171798691994,4638566793375,0
103079215258,4638566793375,4
103079215258,13297220862111,4
8830452760730,13228505579679,-3
8830452760730,13228769820831,3
8830452760730,13297220862111,0
8830452760730,30820687429791,4
442,805323711,-3
442,1879065023,-3
442,35165061567,-2
442,4398851834303,13
32954,805421247,2
32954,1879097535,3
32954,35165094079,4
32954,4398851866815,4
2097338,811614399,-3
2097338,1881161919,-3
2097338,35167158463,4
2097338,4398853931199,4
1073742010,1879097535,-4
1073742010,1881161919,2
1073742010,4026548415,-2
1073742010,36238803135,-2
1073742010,4399925575871,2
34359738554,36238803135,-3
34359738554,103884538047,2
34359738554,4433211572415,2
442,34628191167,-2
442,103347667391,-4
442,4432674701759,2
32954,34628288703,-2
32954,103347699903,2
32954,4432674734271,4
2097338,34634481855,-2
2097338,103349764287,3
2097338,4432676798655,5
536871098,36238803135,-2
536871098,103884538047,-2
536871098,4433211572415,0
68719476922,103884538047,-2
68719476922,240786620607,-2
68719476922,4501394178239,2
442,4398314963903,-2
442,13194407985599,13
32954,4398315061439,0
32954,13194408018111,5
2097338,4398321254591,0
2097338,13194410082495,4
536871098,4399925575871,-2
536871098,13194944856255,4
34359738554,4501394178239,2
34359738554,13228767723711,3
8796093022394,13194944856255,-2
8796093022394,13228767723711,-4
8796093022394,30786594029759,1
442,268453823,-3
1434,268455839,0
1434,805324703,3
1434,34628192159,1
1434,4398314964895,3
33178,268486559,3
