position,disk_mask,score
344075,4432406757519,-3
2179083,34362343567,2
2179083,34366275727,-3
2179083,103081558159,-3
2179083,4432408592527,2
268517387,34628681871,-2
268517387,35165290639,-13
268517387,103347896463,-2
268517387,4432674930831,-2
68719558667,103079723151,3
68719558667,240518414479,-2
68719558667,4501125972111,2
4398046593035,4432406757519,-4
4398046593035,4501125972111,-3
213003,103079723151,0
213003,240518414479,-3
213003,4501125972111,-2
2179083,103085621391,-3
2179083,240520380559,-3
2179083,4501127938191,-2
268517387,103884636303,-8
268517387,240786718863,-4
268517387,4501394276495,-2
137439035403,240518283423,0
137439035403,240518283663,-3
137439035403,240518414479,-3
137439035403,240520380559,4
137439035403,240786718863,-2
137439035403,515396190351,0
137439035403,4638564794511,-2
4398046593035,4638564794511,-3
213003,4432406757519,2
213003,13228499517583,2
2179083,4432412655759,0
2179083,13228501483663,4
268517387,4433211670671,-3
268517387,13228767821967,0
68719558667,4638564794511,1
68719558667,13297218863247,3
8796093104139,13228499517583,-4
8796093104139,13297218863247,-4
8796093104139,30820685430927,1
2244619,34362343567,-3
2244619,34366275727,-5
2244619,103081558159,-5
2244619,4432408592527,-3
6307851,34366275727,-6
6307851,34374533263,-6
6307851,103085621391,0
6307851,4432412655759,2
270549003,34630516879,-13
270549003,34634580111,-11
270549003,35167256719,-13
270549003,103349862543,-6
270549003,4432676896911,-4
68721590283,103081558159,-4
68721590283,103085621391,-4
68721590283,240520380559,-3
68721590283,4501127938191,-3
4398048624651,4432408592527,-5
4398048624651,4432412655759,-5
4398048624651,4501127938191,-5
2113563,34374467743,-5
2113803,34374467983,-4
2179083,34374533263,-3
10502155,34374533263,-4
10502155,34391244943,-3
10502155,103093944463,-3
10502155,4432420978831,-2
270549003,34642903183,-12
270549003,103353991311,-12
270549003,4432681025679,-6
68721590283,103093944463,-4
68721590283,240524509327,-3
68721590283,4501132066959,-3
4398048624651,4432420978831,-4
4398048624651,4501132066959,-4
6307851,103093944463,-4
6307851,240524509327,-3
6307851,4501132066959,4
270549003,103886667919,-11
270549003,240788750479,-11
270549003,4501396308111,-4
137441067019,240520380559,-3
137441067019,240524509327,-3
137441067019,515398221967,-3
137441067019,4638566826127,-2
4398048624651,4638566826127,-5
6307851,4432420978831,-3
6307851,13228505612431,4
270549003,4433213702287,-7
270549003,13228769853583,-2
68721590283,4638566826127,1
68721590283,13297220894863,3
8796095135755,13228501483663,-3
8796095135755,13228505612431,-3
8796095135755,13297220894863,-3
