position,disk_mask,score
8796629909888,13202461049216,-5
8796629909888,30790352126336,11
543162752,4402087723392,15
543162752,4406374302080,6
4833935744,4406374302080,-3
4833935744,4414960042368,10
4833935744,13202463129984,9
8796631990656,13202463129984,-3
8796631990656,30790354207104,12
2684371328,4414957961600,14
2686452096,4414960042368,14
11274289536,13211050967424,2
8798777377152,13211050967424,4
8798777377152,30794647077248,6
6979322240,13211050967424,6
6979322240,30794647077248,-2
17594870399360,30790352109953,4
17594870399360,30790352110464,4
17594870399360,30790352126336,14
17594870399360,30790354207104,-2
17594870399360,30794647077248,5
17594870399360,30824711848320,5
17594870399360,65974724198784,4
8800924860800,13202461032833,-3
8800924860800,13202461033344,-4
8800924860800,13202461049216,-3
8800924860800,13202463129984,-5
8800924860800,13211050967424,-2
8800924860800,13236820771200,-4
8800924860800,30794647077248,-2
26388815937920,30794647077248,-5
26388815937920,65974724198784,-3
8796629909888,65972576731520,12
8796631990656,65972578812288,11
8798777377152,65974724198784,6
43981001982336,65974724198784,-2
43981001982336,136341320892800,3
1610629504,13202461049216,12
1612710272,13202463129984,12
5905580416,13211050967424,4
5905580416,30794647077248,3
17593796657536,30794647077248,4
17593796657536,65974724198784,4
3758096768,30794647077248,4
35185982701952,65972576715137,10
35185982701952,65972576715648,9
35185982701952,65972576731520,13
35185982701952,65972578812288,4
35185982701952,65974724198784,6
35185982701952,66006936453504,11
35185982701952,136341320892800,11
52777095004544,65971502973315,5
52777095004544,65971502973825,4
52777095004544,65971502989697,6
52777095004544,65971505070465,0
52777095004544,65972576715137,5
52777095004544,66005862711681,4
52777095004544,136340247150977,4
52777095004544,65971502974848,4
52777095004544,65971502990208,5
52777095004544,65971505070976,-3
52777095004544,65972576715648,4
52777095004544,66005862712192,4
52777095004544,136340247151488,4
52777095004544,65971503022464,4
52777095004544,65971505086848,4
52777095004544,65972576731520,8
52777095004544,66005862728064,4
52777095004544,136340247167360,6
52777095004544,65971509264768,-2
52777095004544,65972578812288,-3
52777095004544,136340249248128,4
52777095004544,65974724198784,-2
52777095004544,66006936453504,5
52777095004544,136341320892800,5
52777095004544,66074582188416,3
52777095004544,136374606889344,4
17593796657536,136341320892800,10
87961467093376,136340247150977,3
87961467093376,136340247151488,4
87961467093376,136340247167360,4
87961467093376,136340249248128,3
87961467093376,136341320892800,3
87961467093376,136374606889344,3
87961467093376,277077735506304,4
26388279069056,30786594021248,-2
26388279069056,30787130888064,-3
26388279069056,30820953755520,-3
26388279069056,65970966105984,-3
61572651155840,136339710281600,-3
61572651155840,136340247151488,-1
61572651155840,136374070018944,3
26388279068032,136339710281600,3
26388279083392,136339710296960,4
26388281164160,136339712377728,5
26388815937920,136340247151488,4
96757023244672,136339710281600,-4
96757023244672,136340247151488,-2
96757023244672,136374070018944,2
96757023244672,277077198635904,3
26390426550656,30790352109953,3
26390426550656,30790352110464,-2
26390426550656,30790352126336,4
26390426550656,30790354207104,-3
26390426550656,30794647077248,2
26390426550656,30824711848320,4
26390426550656,65974724198784,3
61572651155840,136341320892800,-2
61572651155840,136374606889344,2
26388279083392,136340247167360,4
26388281164160,136340249248128,5
26389352808832,136341320892800,5
96757023244672,136341320892800,-11
96757023244672,136374606889344,3
96757023244672,277077735506304,3
26525718020480,31027112182656,5
26525718020480,31027649053056,-2
26525718020480,31301990089088,4
26525718020480,66211484270976,2
61572651155840,136442789495168,0
26388279083392,136374070034816,11
26388281164160,136374072115584,11
26388815937920,136374606889344,4
26456998543744,136442789495168,4
96757023244672,136442789495168,1
96757023244672,277111558373760,3
79164837200768,136339710281600,4
8796093071744,65970966217088,14
8796093071744,136339710329216,-2
8796629909888,136340247167360,4
79164837216640,136339710296960,3
79164837216640,136339710329216,3
79164837216640,136340247167360,3
79164837216640,136374070034816,10
79164837216640,277077198651776,10
8796099314048,65970980782464,14
8796099314048,136339716571520,6
8796631990656,136340249248128,3
79164839297408,136339712377728,6
79164839297408,136339716571520,4
79164839297408,136340249248128,5
79164839297408,136374072115584,10
79164839297408,277077200732544,10
8797703635328,65974724198784,4
8797703635328,136341320892800,4
79165374071168,136340247150977,4
79165374071168,136340247151488,1
79165374071168,136340247167360,4
79165374071168,136340249248128,-1
79165374071168,136341320892800,4
79165374071168,136374606889344,4
79165374071168,277077735506304,4
114349209289088,136339710281600,-3
114349209289088,136340247151488,-3
114349209289088,136374070018944,-1
114349209289088,277077198635904,1
114349209289088,136341320892800,-5
114349209289088,136374606889344,-2
114349209289088,277077735506304,3
114349209289088,136442789495168,-2
114349209289088,277111558373760,3
43980465127808,277077198651776,10
43980467208576,277077200732544,10
43981001982336,277077735506304,6
184717953466752,277077198635904,0
184717953466752,277077735506304,0
184717953466752,277111558373760,3
