position,disk_mask,score
908,34359740319,5
16780,34359755199,14
16780,34359787935,3
16780,103079231903,14
16780,4432406266271,14
2097548,34361835967,14
2097548,34366030239,14
2097548,103081312671,14
2097548,4432408347039,14
268435852,34628174271,14
268435852,35165045151,14
268435852,103347650975,14
268435852,4432674685343,14
68719477132,103079215551,6
68719477132,240518168991,6
68719477132,4501125726623,6
412,103079215551,5
908,103079217039,4
16780,103079264655,2
16780,240518185359,4
16780,4501125742991,14
2097548,103085506959,14
2097548,240520266127,5
2097548,4501127823759,14
268435852,103884521871,14
268435852,240786604431,4
268435852,4501394162063,14
137438953868,240518168991,5
137438953868,240518169487,2
137438953868,240518185359,3
137438953868,240520266127,0
137438953868,240786604431,-2
137438953868,515396075919,4
137438953868,4638564680079,5
412,4432406249919,5
908,4432406251407,4
16780,4432406299023,3
16780,13228499288463,14
2097548,4432412541327,14
2097548,13228501369231,14
268435852,4433211556239,14
268435852,13228767707535,14
68719477132,4638564680079,5
68719477132,13297218748815,4
8796093022604,13228499272095,6
8796093022604,13297218748815,5
8796093022604,30820685316495,5
908,34359742351,5
2948,34359746439,4
2948,103079219079,2
2948,4432406253447,4
17284,34359758727,12
17284,34359789447,3
17284,103079233415,12
17284,4432406267783,12
2098052,34361839495,12
2098052,34366031751,13
2098052,103081314183,12
2098052,4432408348551,12
268436356,34628177799,12
268436356,35165046663,2
268436356,103347652487,12
268436356,4432674686855,12
68719477636,103079219079,5
68719477636,240518170503,4
68719477636,4501125728135,5
137438954372,240518170503,4
8796093023108,13228499273607,4
16780,34359853455,0
82308,34359984519,4
82308,103079330183,4
82308,4432406364551,4
68719493508,103079330183,1
68719493508,240518218119,4
68719493508,4501125775751,3
49540,103079330183,14
49540,240518218119,13
49540,4501125775751,14
137438970244,240518185359,11
137438970244,240518185863,11
137438970244,240518218119,3
137438970244,240520282503,3
137438970244,240786620807,2
137438970244,515396092295,11
137438970244,4638564696455,11
49540,4432406364551,14
49540,13228499321223,14
68719493508,4638564696455,11
68719493508,13297218765191,11
8796093038980,13228499321223,2
8796093038980,13297218765191,11
8796093038980,30820685332871,11
2097548,34374418831,14
10486148,34391196039,13
10486148,103093895559,13
10486148,4432420929927,13
68721574276,103093895559,2
68721574276,240524460423,12
68721574276,4501132018055,12
6291844,103093895559,13
6291844,240524460423,12
6291844,4501132018055,13
137441051012,240520266127,6
137441051012,240520266631,4
137441051012,240520282503,5
137441051012,240524460423,9
137441051012,240788701575,5
137441051012,515398173063,11
137441051012,4638566777223,11
6291844,4432420929927,13
6291844,13228505563527,13
68721574276,4638566777223,11
68721574276,13297220845959,11
8796095119748,13228505563527,12
8796095119748,13297220845959,11
8796095119748,30820687413639,11
268435852,36238786959,14
1342177668,38386270599,3
1342177668,104958263687,3
1342177668,4434285298055,3
68987912580,104958263687,2
68987912580,241323475335,2
68987912580,4501931032967,3
805306756,104958263687,13
805306756,241323475335,11
805306756,4501931032967,13
137707389316,240786604431,8
137707389316,240786604935,3
137707389316,240786620807,4
137707389316,240788701575,3
137707389316,241323475335,3
137707389316,515664511367,11
137707389316,4638833115527,11
805306756,4434285298055,13
805306756,13229304578439,13
68987912580,4638833115527,11
68987912580,13297487184263,11
8796361458052,13229304578439,2
8796361458052,13297487184263,11
8796361458052,30820953751943,11
206158430596,240518168991,5
206158430596,240518169487,3
206158430596,240518185359,3
206158430596,240520266127,4
206158430596,240786604431,4
206158430596,515396075919,2
206158430596,4638564680079,6
206158430596,240518170503,2
206158430596,240518185863,3
206158430596,240520266631,0
206158430596,240786604935,2
206158430596,515396076423,2
206158430596,4638564680583,4
206158430596,240518218119,3
206158430596,240520282503,3
206158430596,240786620807,3
206158430596,515396092295,2
206158430596,4638564696455,3
206158430596,240524460423,0
206158430596,515398173063,2
206158430596,4638566777223,3
206158430596,241323475335,2
206158430596,515664511367,3
206158430596,4638833115527,5
68719477132,515396075919,5
68719493508,515396092295,11
68721574276,515398173063,11
68987912580,515664511367,11
343597384068,515396075919,4
343597384068,515396076423,1
343597384068,515396092295,3
343597384068,515398173063,3
343597384068,515664511367,4
343597384068,1065151889799,4
343597384068,4913442587015,4
206158430596,4913442587015,5
206158430596,13434657702279,5
8864812499332,13297218748815,3
8864812499332,13297218749319,2
8864812499332,13297218765191,3
8864812499332,13297220845959,2
8864812499332,13297487184263,4
8864812499332,13434657702279,4
8864812499332,30889404793223,4
428,13194139533759,4
908,4398046513055,6
16780,4398046527935,14
16780,4398046560671,3
16780,13194139550111,14
2097548,4398048608703,14
2097548,4398052802975,14
2097548,13194141630879,14
268435852,4398314947007,14
268435852,4398851817887,14
268435852,13194407969183,14
34359738764,4432406249919,4
34359738764,4501125726623,4
34359738764,13228499272095,4
8796093022604,13194139533759,7
8796093022604,30786325578143,5
412,13194139533759,4
908,13194139535247,4
16780,13194139582863,4
16780,30786325594511,1
2097548,13194145825167,14
2097548,30786327675279,5
268435852,13194944840079,14
268435852,30786594013583,3
34359738764,13297218748815,2
34359738764,30820685316495,2
17592186044812,30786325578143,5
17592186044812,30786325578639,1
17592186044812,30786325594511,2
17592186044812,30786327675279,1
17592186044812,30786594013583,3
17592186044812,30820685316495,5
17592186044812,65970697666959,3
908,4398046515087,6
2948,4398046519175,4
2948,13194139537287,4
17284,4398046531463,12
17284,4398046562183,3
17284,13194139551623,12
2098052,4398048612231,12
2098052,4398052804487,13
2098052,13194141632391,12
268436356,4398314950535,12
268436356,4398851819399,2
268436356,13194407970695,12
34359739268,4432406253447,4
34359739268,4501125728135,2
34359739268,13228499273607,4
8796093023108,13194139537287,3
8796093023108,30786325579655,4
17592186045316,30786325579655,3
16780,4398046626191,1
82308,4398046757255,4
82308,13194139648391,4
34359755140,4432406364551,0
34359755140,4501125775751,2
34359755140,13228499321223,2
8796093038980,13194139648391,-2
8796093038980,30786325627271,3
49540,13194139648391,14
49540,30786325627271,4
34359755140,13297218765191,11
34359755140,30820685332871,2
17592186061188,30786325594511,4
17592186061188,30786325595015,3
17592186061188,30786325627271,3
17592186061188,30786327691655,0
17592186061188,30786594029959,3
17592186061188,30820685332871,11
17592186061188,65970697683335,11
2097548,4398061191567,14
10486148,4398077968775,13
10486148,13194154213767,13
34361835908,4432420929927,-2
34361835908,4501132018055,9
34361835908,13228505563527,9
8796095119748,13194154213767,-1
8796095119748,30786331869575,12
6291844,13194154213767,13
6291844,30786331869575,10
34361835908,13297220845959,11
34361835908,30820687413639,4
17592188141956,30786327675279,4
17592188141956,30786327675783,4
17592188141956,30786327691655,4
17592188141956,30786331869575,12
17592188141956,30786596110727,4
17592188141956,30820687413639,11
17592188141956,65970699764103,11
268435852,4399925559695,14
1342177668,4402073043335,2
1342177668,13196018581895,4
34628174212,4434285298055,2
34628174212,4501931032967,0
34628174212,13229304578439,2
8796361458052,13196018581895,2
8796361458052,30787130884487,2
805306756,13196018581895,13
805306756,30787130884487,6
34628174212,13297487184263,11
34628174212,30820953751943,2
17592454480260,30786594013583,4
17592454480260,30786594014087,4
17592454480260,30786594029959,4
17592454480260,30786596110727,3
17592454480260,30787130884487,2
17592454480260,30820953751943,11
17592454480260,65970966102407,11
34359738764,4638564680079,2
34359755140,4638564696455,11
34361835908,4638566777223,11
34628174212,4638833115527,11
171798692228,4913442587015,3
171798692228,13434657702279,3
103079215492,13434657702279,2
103079215492,30889404793223,2
17626545783172,30820685316495,2
17626545783172,30820685316999,-1
17626545783172,30820685332871,2
17626545783172,30820687413639,1
17626545783172,30820953751943,3
17626545783172,30889404793223,2
17626545783172,66005057405319,2
26388279067012,30786325578143,3
26388279067012,30786325578639,3
26388279067012,30786325594511,3
26388279067012,30786327675279,2
26388279067012,30786594013583,3
26388279067012,30820685316495,3
26388279067012,65970697666959,3
26388279067012,30786325579655,-1
26388279067012,30786325595015,-2
26388279067012,30786327675783,0
26388279067012,30786594014087,1
26388279067012,30820685316999,3
26388279067012,65970697667463,1
26388279067012,30786325627271,2
26388279067012,30786327691655,2
26388279067012,30786594029959,4
26388279067012,30820685332871,3
26388279067012,65970697683335,3
26388279067012,30786331869575,3
26388279067012,30786596110727,2
26388279067012,30820687413639,2
26388279067012,65970699764103,0
26388279067012,30787130884487,2
26388279067012,30820953751943,3
26388279067012,65970966102407,3
26388279067012,30889404793223,4
26388279067012,66005057405319,4
8796093022604,65970697666959,5
8796093038980,65970697683335,11
8796095119748,65970699764103,11
8796361458052,65970966102407,11
43980465111428,65970697666959,3
43980465111428,65970697667463,0
43980465111428,65970697683335,3
43980465111428,65970699764103,2
43980465111428,65970966102407,4
43980465111428,66005057405319,4
43980465111428,136339441844615,4
936,1983,5
17288,18335,15
2098056,2099103,15
268436360,268437407,15
34359739272,34359740319,5
920,1983,5
920,3999,5
920,18335,2
920,2099103,0
920,268437407,4
920,34359740319,5
920,4398046513055,4
2952,3999,5
2952,8079,5
2952,20367,2
2952,2101135,0
2952,268439439,4
2952,34359742351,5
2952,4398046515087,4
17288,20367,15
17288,51087,0
17288,2115471,0
17288,268453775,12
17288,34359756687,15
17288,4398046529423,15
2098056,2101135,15
2098056,6293391,15
2098056,270534543,5
2098056,34361837455,15
2098056,4398048610191,15
268436360,268439439,15
268436360,268453775,4
268436360,270534543,0
268436360,805308303,15
268436360,34628175759,15
268436360,4398314948495,15
34359739272,34359742351,5
34359739272,34359756687,2
34359739272,34361837455,0
34359739272,34628175759,3
34359739272,103079217039,4
34359739272,4432406251407,4
4195208,6293391,4
536871816,805308303,5
68719477640,103079217039,5
8796093023112,13194139535247,5
19328,24455,2
19328,53127,0
19328,2117511,-1
19328,268455815,0
19328,34359758727,0
19328,4398046531463,2
50048,53127,3
50048,116615,-2
50048,2148231,-2
50048,268486535,12
50048,34359789447,3
50048,4398046562183,3
2114432,270550919,0
268452736,270550919,0
34359755648,34359758727,-1
34359755648,34359789447,-1
34359755648,34361853831,-3
34359755648,34628192135,-1
34359755648,103079233415,-1
34359755648,4432406267783,2
82816,116615,0
4211584,6309767,-1
536888192,805324679,2
68719494016,103079233415,2
8796093039488,13194139551623,2
2100096,2105223,5
2100096,2117511,1
2100096,6295431,5
2100096,270536583,4
2100096,34361839495,5
2100096,4398048612231,4
6292352,6295431,6
6292352,6309767,4
6292352,14681991,4
6292352,274728839,4
6292352,34366031751,6
6292352,4398052804487,6
270533504,270550919,2
34361836416,34361839495,5
34361836416,34361853831,2
34361836416,34366031751,2
34361836416,34630272903,2
34361836416,103081314183,4
34361836416,4432408348551,4
10486656,14681991,5
538968960,807405447,0
68721574784,103081314183,5
8796095120256,13194141632391,5
268438400,268443527,2
268438400,268455815,2
268438400,270536583,0
268438400,805310343,2
268438400,34628177799,1
268438400,4398314950535,2
805307264,805310343,4
805307264,805324679,4
805307264,807405447,-1
805307264,1879050119,-1
805307264,35165046663,10
805307264,4398851819399,4
34628174720,34628177799,0
34628174720,34628192135,1
34628174720,34630272903,-2
34628174720,35165046663,0
34628174720,103347652487,-1
34628174720,4432674686855,0
268469120,268486535,3
272630656,274728839,-1
1342178176,1879050119,2
68987913088,103347652487,2
8796361458560,13194407970695,2
34359741312,34359746439,2
34359741312,34359758727,0
34359741312,34361839495,-3
34359741312,34628177799,-2
34359741312,103079219079,-2
34359741312,4432406253447,2
103079216000,103079219079,0
103079216000,103079233415,2
103079216000,103081314183,0
103079216000,103347652487,3
103079216000,240518170503,2
103079216000,4501125728135,2
34359772032,34359789447,2
34363933568,34366031751,-1
34896610176,35165046663,0
171798692736,240518170503,-2
908,3999,5
908,8079,5
4996,8079,2
4996,24455,2
4996,2105223,2
4996,268443527,3
4996,34359746439,3
4996,4398046519175,4
17284,24455,12
17284,53127,3
2098052,2105223,12
2098052,6295431,13
268436356,268443527,12
268436356,805310343,2
34359739268,34359746439,5
34359739268,103079219079,2
4398046512004,4398046519175,7
7040,24455,0
7040,2105223,-2
7040,268443527,1
7040,34359746439,-2
7040,4398046519175,0
19328,57219,2
19328,2121603,2
19328,268459907,2
19328,34359762819,5
19328,4398046535555,5
2100096,2121603,3
2100096,6299523,4
2100096,270540675,3
2100096,34361843587,8
2100096,4398048616323,5
268438400,268459907,4
268438400,270540675,2
268438400,805314435,3
268438400,34628181891,9
268438400,4398314954627,5
34359741312,34359762819,2
34359741312,34361843587,2
34359741312,34628181891,3
34359741312,103079223171,2
34359741312,4432406257539,3
7040,57219,0
7040,2121603,2
7040,268459907,2
7040,34359762819,0
7040,4398046535555,2
35712,53127,2
35712,57219,4
35712,118659,-1
35712,2150275,2
35712,268488579,4
35712,34359791491,2
35712,4398046564227,4
2100096,2150275,1
2100096,6311811,3
2100096,270552963,4
2100096,34361855875,2
2100096,4398048628611,2
268438400,268488579,1
268438400,270552963,2
268438400,805326723,2
268438400,34628194179,4
268438400,4398314966915,4
34359741312,34359791491,0
34359741312,34361855875,2
34359741312,34628194179,2
34359741312,103079235459,1
34359741312,4432406269827,2
7040,6299523,-1
7040,270540675,1
7040,34361843587,-2
7040,4398048616323,0
19328,2150275,2
19328,6311811,-1
19328,270552963,3
19328,34361855875,0
19328,4398048628611,1
4197248,6295431,0
4197248,6299523,4
4197248,6311811,3
4197248,14684035,0
4197248,274730883,3
4197248,34366033795,0
4197248,4398052806531,3
268438400,274730883,3
268438400,807407491,2
268438400,34630274947,2
268438400,4398317047683,2
34359741312,34366033795,-3
34359741312,34630274947,3
34359741312,103081316227,2
34359741312,4432408350595,2
7040,805314435,-2
7040,34628181891,-2
7040,4398314954627,2
19328,268488579,0
19328,805326723,3
19328,34628194179,2
19328,4398314966915,2
2100096,274730883,4
2100096,807407491,3
2100096,34630274947,3
2100096,4398317047683,3
536873856,805310343,1
536873856,805314435,4
536873856,805326723,4
536873856,807407491,1
536873856,1879052163,2
536873856,35165048707,2
536873856,4398851821443,3
34359741312,35165048707,-3
34359741312,103347654531,-2
34359741312,4432674688899,2
7040,103079223171,0
7040,4432406257539,2
19328,34359791491,0
19328,103079235459,5
19328,4432406269827,5
2100096,34366033795,4
2100096,103081316227,5
2100096,4432408350595,5
268438400,35165048707,2
268438400,103347654531,3
268438400,4432674688899,4
68719479680,103079219079,0
68719479680,103079223171,3
68719479680,103079235459,2
68719479680,103081316227,0
68719479680,103347654531,3
68719479680,240518172547,4
68719479680,4501125730179,3
7040,13194139541379,2
19328,4398046564227,2
19328,13194139553667,4
2100096,4398052806531,4
2100096,13194141634435,4
268438400,4398851821443,2
268438400,13194407972739,4
34359741312,4501125730179,2
34359741312,13228499275651,2
8796093025152,13194139537287,2
8796093025152,13194139541379,3
8796093025152,13194139553667,2
8796093025152,13194141634435,2
8796093025152,13194407972739,3
8796093025152,13228499275651,3
8796093025152,30786325581699,2
21376,24455,-2
21376,57219,-2
21376,2121603,2
21376,268459907,2
21376,34359762819,5
21376,4398046535555,5
50048,57219,12
50048,118659,5
50048,2150275,4
50048,268488579,12
50048,34359791491,12
50048,4398046564227,12
2114432,270552963,5
268452736,270552963,2
34359755648,34359762819,4
34359755648,34359791491,-2
34359755648,34361855875,0
34359755648,34628194179,2
34359755648,103079235459,4
34359755648,4432406269827,4
4398046528384,4398046535555,4
4398046528384,4398046564227,0
17284,116615,-3
19328,118659,-2
82816,118659,3
82816,247683,3
82816,2213763,2
82816,268552067,2
82816,34359854979,3
82816,4398046627715,4
2114432,270583683,0
268452736,270583683,0
34359755648,34359854979,-2
34359755648,34361886595,-2
34359755648,34628224899,-1
34359755648,103079266179,-1
34359755648,4432406300547,2
50048,2213763,-2
50048,6342531,11
50048,270583683,13
50048,34361886595,3
50048,4398048659331,3
4211584,6311811,2
4211584,6342531,2
4211584,14698371,-1
4211584,274745219,13
4211584,34366048131,3
4211584,4398052820867,2
268452736,274745219,0
268452736,807421827,2
268452736,34630289283,3
268452736,4398317062019,3
34359755648,34366048131,-3
34359755648,34630289283,3
34359755648,103081330563,0
34359755648,4432408364931,2
50048,268552067,-3
50048,805357443,4
50048,34628224899,12
